ID,Prestataires,Nom_Presta,Objet_du_Contact,Sous-catégorie,Message,Humeur,Date,Interlocuteur,Status,Taiter_Date,Humeur_apres,Object_id,Traitable;
d0775898,HoYv2075Lm,,Demande signalétique,,demande de pose de panneau,😡,31/12/2016,e.terral@otisud.com,Traitée,17/11/2021,,recxNoi9kbaEno5Up,FALSE;
59d49e12,EdMa303814,,Demande signalétique,Nouveaux panneaux,pose de panneau,😡,16/12/2017,e.terral@otisud.com,A traiter,,,recET3fUKEiA1NBPx,FALSE;
7e18801e,DoPa2994fy,,Demande signalétique,,panneaux a changer,🤔,06/06/2018,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,reccTQSAZ0XAl21Q6,;
00322f93,Jo2046w6,,Demande signalétique,,A FAIRE 2 FG,🤔,16/07/2018,e.terral@otisud.com,Traitée,20/10/2021,,recHDhvcAecymLeQG,TRUE;
ab0890b3,LeJo70092B,,Demande signalétique,,panneau,🤔,16/07/2018,e.terral@otisud.com,Traitée,16/07/2021,,,;
e45d3833,PeLa4053Jt,,Demande signalétique,,panneau ?,🤔,14/11/2018,e.terral@otisud.com,A traiter,,,recr1yhoYV0cSykCz,;
e8311d4b,LaMi0151GC,,Demande signalétique,,pose de panneau ?,🤔,16/12/2018,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recD7OVhsKJL0mUGB,TRUE;
820b5424,GaBr1335NL,,Demande signalétique,,pose de panneau,🤔,16/12/2018,e.terral@otisud.com,A traiter,,,recUIgVhbOSmVZOpH,TRUE;
74fc9b51,8145pX,,Demande signalétique,Nouveaux panneaux,ELIGIBLE !!,🤔,16/12/2018,e.terral@otisud.com,A traiter,,,recN0yEGh5spNBVpa,TRUE;
74259c92,SePh0332t2,,Demande signalétique,,pose de panneau ?,🤔,18/12/2018,e.terral@otisud.com,A traiter,,,recdMvYzg3DHC0HF8,TRUE;
87766f6d,FrBr6051sd,,Demande signalétique,Nouveaux panneaux,Dans l'attente de panneaux depuis Mars 2019,🤔,27/03/2019,d.philippe@otisud.com,A traiter,,,recMNd8ISYzDXc7iM,;
6687af43,GuJo18883O,,Demande signalétique,,RENFORT ENSEMBLE SIL,🤔,16/06/2019,e.terral@otisud.com,Traitée,09/12/2021,,recjVuOypOyayuqqy,FALSE;
a0e9a9be,FoLa3844RL,,Demande signalétique,,A récuperer son panneau + le paille en queue ( à refaire une FD),🤔,16/06/2019,e.terral@otisud.com,A traiter,,,recwBwWyOMkcf9oER,;
105b91a4,MuMa1400W9,,Demande signalétique,,panneau,🤔,03/07/2019,e.terral@otisud.com,A traiter,,,rec9UKLC1tbTq5AxG,;
90cfcf3b,SéJo8888lb,,Demande signalétique,,devait récupérer ces panneaux !!! en 2019,🤔,16/12/2019,e.terral@otisud.com,A traiter,,,reczhuWwdniGCsFk9,;
"a26b80de,ac3f437d,,Demande signalétique,""Nouveaux panneaux , Dégradation d'un panneau signalétique"",présence de 2 panneaux fortement dégradés sur la route principale + demande d'ajout d'un panneau à l'entrée de l'impasse -> ATTENTION changement de nature : chambre d'hôtes + table d'hôtes!,🤔,09/01/2021,m.lallement@otisud.com,A traiter,,,0cfcf8dd,";
c605ef9a,GrBr4657HO,,Demande signalétique,,panneau au niveau de la route en haut et départ du sentier sur le gros pied de vacoa,🤔,16/06/2021,e.terral@otisud.com,Traitée,23/08/2024 00:00:00,,recl9vgzWXUMtVpSU,FALSE;
6025f1f2,MeVi55496Y,,Demande signalétique,Nouveaux panneaux,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,07/02/2026 00:00:00,,recwp3fai3XFHnqBH,TRUE;
b0a4c10e,Ma5465G1,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,19/04/2026 00:00:00,,rec8BkQxWXqm91OVQ,;
7a460103,ChMi8636sv,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,19/04/2026 00:00:00,,recOHVqWlqR7VchDk,TRUE;
e93b9112,Ma5465G1,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,19/04/2026 00:00:00,,rec8BkQxWXqm91OVQ,;
258bdd35,GrMa7622nr,,Demande signalétique,,panneau / relance,🤔,16/06/2021,e.terral@otisud.com,Traitée,21/05/2024 00:00:00,,recniIbY7hhxvXBg2,FALSE;
dc29dbc9,CaMa5939VQ,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,28/7/2024 00:00:00,,reckXTvApyYmMG2Jd,;
a972ccff,KoOl1332ci,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,reciq0tdqCVegWqLM,;
cb9b2999,BeNa2144Op,,Demande signalétique,Nouveaux panneaux,panneau,😨,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,rechoO1CcVQWDiNVb,TRUE;
f872a8d2,LaRo3001bA,,Demande signalétique,Mauvais jalonnement,souhaite un nouveau jalonnement,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,reccMrDJTa1lyK06z,TRUE;
faa1b2fb,MeSa2068oY,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,reca0ng1xv5qFiYah,;
2a5ae0b5,SaJe8920hp,,Demande signalétique,,A REPONDU QU IL VENDAIT SA STRUCTURE !,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recmlkfusePI2Jmwl,TRUE;
868ecd4d,BaVi8538Tt,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recFYtX4YX3xFNdjQ,;
c091fefb,PaJe7963GR,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recOeeOftaLwczc4N,;
a88f954e,ChCa4407Uk,,Demande signalétique,Nouveaux panneaux,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recCqLoT1f1PRg809,FALSE;
b8b953ba,RoMa7796sc,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recV3FbnKoB841Pz0,TRUE;
177d9baf,LeGe5105d7,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recVMxK2n2g0JqxYW,FALSE;
ccac7732,ClJe0813Wl,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recFPDYqkwYh8XFJj,;
b3b47cb2,PaIs52799G,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recFDydLW7PHjAIhb,;
a3cb98f2,LeMa1776jA,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recQvWZmLaWYl0URt,FALSE;
0535ce4c,DiCh6956Du,,Demande signalétique,Nouveaux panneaux,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,29/04/2024 00:00:00,,recez0t1khNIMm1kd,TRUE;
1976f364,LeMu2704ll,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,09/12/2021,,rec1YVOft2oXH4wUP,FALSE;
a984cfc9,KGe628401,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,09/12/2021,,rec7PV8VcVqwUZH52,TRUE;
32c44d31,MaMa5402f9,,Demande signalétique,,1F Pré SIL à l'entrée (chez dan's),🤔,16/06/2021,e.terral@otisud.com,Traitée,30/11/2021,,recfS3ibqtiRSEOVy,;
56fd440a,RoMa7796sc,,Demande signalétique,,villa lea,🤔,16/06/2021,e.terral@otisud.com,Traitée,19/04/2026 00:00:00,,recQj57Xv9jXL2umf,FALSE;
242662c8,AlCl8009JW,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,25/10/2021,,rec32hF9oHx4POksO,;
bf2f6f53,EvVa0915aQ,,Demande signalétique,,COURRIER ENVOYE A LA DIRECTION,🤔,16/06/2021,e.terral@otisud.com,Traitée,16/07/2021,,,;
d03720fe,FoVi7768hD,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,16/07/2021,,,;
2ec164c7,AvKa2251eg,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,16/07/2021,,,;
c8af97b6,MeMi6560R1,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,16/07/2021,,,;
eeded7a6,BoAn5807zn,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,16/07/2021,,,;
b69f974c,ViRa4158Qg,,Demande signalétique,,RAJOUT DE PANNEAU A L ENTREE DE LA DEPARTEMENTALE 37 OK JALONNEMENT,🤔,16/06/2021,e.terral@otisud.com,A traiter,,,recBZmfIOETXxEgxz,FALSE;
9ee850a3,NaDa8193QY,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,Traitée,,,rece9uELyn8ZtWYFS,;
22280075,PaJe7231KG,,Demande signalétique,,panneua,🤔,16/06/2021,e.terral@otisud.com,A traiter,,,recQd1WP7LlNdLABE,TRUE;
3cdf46ec,OrLa1429Q1,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,A traiter,,,recZYCbaJbEYDPyJv,TRUE;
d72d72c8,MuJi1689uM,,Demande signalétique,,2 LATTES rn2 INTERSECTION RUE Lacaussade et 1 latte imp.3 caes A VERIFIER !,🤔,16/06/2021,e.terral@otisud.com,A traiter,,,recmsSJaBNWrrgQJS,TRUE;
01d669a6,GrMa6340W5,,Demande signalétique,Nouveaux panneaux,panneau,🤔,16/06/2021,e.terral@otisud.com,A traiter,,,recYbHociWIhHmnT3,TRUE;
af922f9e,DaFa4620tI,,Demande signalétique,,panneau,🤔,16/06/2021,e.terral@otisud.com,A traiter,,,recvVfwpQJxSLM8gw,TRUE;
38d9ef7d,HoJo8268Xl,,Demande signalétique,Réfection de panneaux,Panneaux à refaire avec les 3 étoiles,🤔,16/06/2021,e.terral@otisud.com,A traiter,,,recbTjQjQZULrhTNx,;
eaa4afbb,MaWi9578XX,,Demande signalétique,,Panneaux à refaire avec les 3 étoiles,🤔,16/06/2021,e.terral@otisud.com,A traiter,,,recd0bjcfRVLbyOCv,FALSE;
16584eb5,PaMa1433uR,,Demande signalétique,,RELANCE 07/20,😡,16/06/2021,e.terral@otisud.com,A traiter,,,recuTyBQOgIlWc2zY,TRUE;
