ID_D_D,Object_id,Type_D_D,Commentaire
48b2a9be,c0a466e9,borne électrique (recharge VTT ou véhicule),
477eddcc,recIVYS9o5mvkvjDi,recyclage des végétaux,prestataire qui utilise les feuilles de palmier pour ses créations
8cba14d3,59D0EA4483,Produits labellisés bio,production bio / réemploi des bocaux usagés
7b6c96ab,recjVuOypOyayuqqy,Sensibilisation de la clientèle,visites guidées
8ed47988,recjVuOypOyayuqqy,Produits labellisés bio,
70d472f0,recEqFurEd2CSBjqg,Gestion des déchets,composteur / tri des déchets
82bee9a0,recfcEj0VScC9avif,Gestion des déchets,composteur / tri des déchets
1b9487d1,3e9ccb68,Gestion des déchets,composteur / tri des déchets
27cf440f,rec9VUy4xPzBe6RkX,Sensibilisation de la clientèle,fermette biologique / utilisation de produits bio
40fd8f03,rec9VUy4xPzBe6RkX,Gestion de l'énergie,Panneaux photovoltaïques
70784837,rec9VUy4xPzBe6RkX,Gestion des déchets,tri des déchets
fe3de992,rec9VUy4xPzBe6RkX,Gestion de l'eau,Récupération de l'eau de pluie
838f6630,recxY4pUkZnofQw1g,Préservation de la biodiversité,Préservation de la biodiversité aquatique des eaux douces de La Réunion
a2bc7437,recxY4pUkZnofQw1g,Sensibilisation de la clientèle,
30ab42af,recv9dk9YRWpnfk4H,Gestion des déchets,Tri sélectif
982abb03,recv9dk9YRWpnfk4H,Gestion de l'énergie,Chauffe-eau solaire
8a62b7e2,recv9dk9YRWpnfk4H,Sensibilisation de la clientèle,
85363fa8,recOk422JMgj9tU8L,Gestion de l'énergie,Eclairage LED / chauffe-eau solaire
499a3b77,recOk422JMgj9tU8L,Gestion des déchets,Tri sélectif
e9ae000f,recOk422JMgj9tU8L,Assainissement Durable,Phyto-épuration
09dbd670,recOk422JMgj9tU8L,Gestion de l'eau,récupération de l'eau de pluie
e23bef1d,recOk422JMgj9tU8L,Sensibilisation de la clientèle,mini ferme / accessible aux PMR et autres types de handicaps
05b85640,rec5Xr38CzqCc6d1f,Préservation de la biodiversité,lutte contre les espèces envahissantes / arboretum d'espèces endémiques et indigènes
6c2bfabb,rec5Xr38CzqCc6d1f,Gestion des déchets,tri / orientation zéro déchets
14edf03d,rec5Xr38CzqCc6d1f,Gestion de l'énergie,Autonomie énergétique / panneaux photovoltaïques
120b383b,rec5Xr38CzqCc6d1f,Assainissement Durable,Toilettes sèches
a35eb637,rec5Xr38CzqCc6d1f,Gestion de l'eau,Récupération de l'eau de pluie
"c2851993,96b0af71,Produits labellisés bio,""Cuisine avec pdts bio et locaux"
"Utilisation nettoyage vapeur"""
ce641f36,96b0af71,Gestion des déchets,Tri effectué par les hébergeurs
"2d46430d,96b0af71,Gestion de l'énergie,""Éclairage LED et solaire"
Panneaux photovoltaiques
"Chauffe eau solaire"""
"8af361f6,96b0af71,Gestion de l'eau,""Recuperation eau de pluie une citerne pr le jardin, piscine, jacuzzi"""
fe796aaa,9077f262,recyclage des végétaux,Poubelle à végétaux dispo sur place
d6d2064f,9077f262,Gestion des déchets,Tri sélectif appliqué et demandé aux clients. Le verre et récupérer également pour bien trier.
"5d1878cd,rec5vqdPwSdrFzsvs,Gestion des déchets,""Tri des déchets proposé aux clients."
Suppression des consommables à usage unique et l’élimination des emballages plastiques.
"Les déchets compostables sont traités et stockés sur place, et le compost ainsi généré est utilisé pour les nombreux espaces végétalisés de l’hôtel."""
"c8cde98a,rec5vqdPwSdrFzsvs,Gestion de l'eau,""L’hôtel est équipé des équipements sanitaires les plus récents, incluant notamment des mousseurs et des robinets avec cran économiseur d’eau à double position, qui permettent de limiter le débit et donc la consommation. Les WC sont équipés de la même manière de chasse-d ’eau à double poussoir."

Un volet repliable automatique est installé sur la piscine permettant de couvrir celle-ci hors des heures d’usage afin de limiter les déperditions thermiques et l’évaporation d’eau.

"Le chauffage de l’eau de la piscine est assuré par une pompe à chaleur."""
"d53322b2,rec5vqdPwSdrFzsvs,Gestion de l'énergie,""Réduction de la consommation électrique (pas de télévision dans les chambres, éclairage extérieur avec détecteur de présence)"
Mise en place d’une centrale solaire thermique équipée d’une surface de captage de 56 m², couvrant l’ensemble des hébergements, nouveaux et anciens.
"Ventilation naturelle (climatisation uniquement en appoint si nécessaire)"""
"f80621a1,rec5vqdPwSdrFzsvs,Préservation de la biodiversité,""Le végétal fait partie intégrante de la stratégie environnementale du projet du Dimitile. Le projet paysager met en valeur les espèces endémiques et la biodiversité du site : les plus gros sujets ont d’ailleurs été déplantés, mis en nourrice, puis replantés à l’issue des travaux."""
"2f23e26f,022C4A9B1C,Gestion des déchets,""Suppression des consommables à usage unique et l’élimination des emballages plastiques."
"Les déchets compostables sont traités et stockés sur place, et le compost ainsi généré est utilisé pour les nombreux espaces végétalisés de l’hôtel."""
1ca44c32,022C4A9B1C,Produits en circuit court,Le restaurant du Dimitile souhaite promouvoir le savoir-faire et l’agriculture de l’île en privilégiant les fruits et légumes locaux et de saison. Les maraîchers sont sélectionnés pour la qualité de leurs produits et l’utilisation limitée de pesticides dans leurs exploitations.
"84c40691,rec5vqdPwSdrFzsvs,Construction bioclimatique,""Les bâtiments du Dimitile ont été conçu en intégrant les grands principes bioclimatiques : orientation des édifices, utilisation de voiles d’ombrages ou dimensionnement des débords de toit pour gérer au mieux les apports solaires en les favorisant lors de la saison fraîche et en s’en protégeant lors de la saison chaude."""
9dc593d0,rec5vqdPwSdrFzsvs,Sensibilisation du personnel,Formation du personnel aux pratiques écoresponsables (formation obligatoire démarche éco responsable dans une entreprise).
"341fee0c,rec5vqdPwSdrFzsvs,Soutien associatif,""Le groupe AMANTA, dont fait partie Le Dimitile, est membre du mouvement 1% pour la planète et reverse ainsi 1% de son chiffre d’affaires à des fins environnementales."""
"bad6635c,022C4A9B1C,Soutien associatif,""Le groupe AMANTA, dont fait partie Le Dimitile, est membre du mouvement 1% pour la planète et reverse ainsi 1% de son chiffre d’affaires à des fins environnementales."""
795cf17d,97c59f68,Gestion de l'eau,L’hôtel utilise des équipements sanitaires économes en eau et une couverture automatique pour la piscine afin de limiter les pertes thermiques et l’évaporation. Le chauffage de la piscine est assuré par une pompe à chaleur.
8150c3bc,recd0bjcfRVLbyOCv,borne électrique (recharge VTT ou véhicule),
