Id_Tarifs,Object_id,Description,Tarif Montant,Tarif libellé,,Mini
3ad2452b,83237123,à partir de 2 nuits,170,chambre double/bungalow/nuit,,
0e12d7f7,83237123,à partir de 2 nuits,1020,chambre double/bungalow/semaine,,
43e06f3d,558a72e5,,35,pers./nuit,,
9c89e1db,1076a83d,,27,pers./nuit,,
8c774d86,496a765b,,390,semaine,,
,,,,,,
,,,,,,
82799188,recGtfya4sOtjkELr,,5,,,
,,,,,,
179bce10,recvBb0nTg5vjAZfJ,,8,repas,,À partir de
f28c88ba,recNdYUMBvLOiGjBx,à partir de 2 nuits,175,nuit,,À partir de
"4d1a49a4,recET3fUKEiA1NBPx,Carte postale,""0,75"",repas,,À partir de"
f5ca46b7,recCqLoT1f1PRg809,,42,nuit,,À partir de
41c32123,rec5VZhd6zBZNeCk5,,55,chambre double avec petit déjeuner/pers./repas,,
683ef605,rec5VZhd6zBZNeCk5,,50,chambre double avec petit déjeuner/pers./repas/dortoir,,
4f63e8da,rec5VZhd6zBZNeCk5,,45,repas/dortoir/enfant,,
bbe95593,rec5VZhd6zBZNeCk5,,30,repas/dortoir/enfant,,À partir de
8c60f576,3d9a73ff,à partir de 2 nuits,55,pers./nuit,,À partir de
86ce4f88,recuTyBQOgIlWc2zY,,70,chambre double avec petit déjeuner,,À partir de
0ddc4548,recOcuxtjmr1W3lPa,Enfants,15,repas,,
1eb61818,recOcuxtjmr1W3lPa,Minimum 6 personnes,29,repas,,
fcae823e,reccMrDJTa1lyK06z,,500,semaine,,
fa4d5eba,reccMrDJTa1lyK06z,à partir de 2 nuits,300,week,,
1f1453a5,recxNoi9kbaEno5Up,,135,chambre double avec petit déjeuner/nuit,,
0fed1234,rec32hF9oHx4POksO,,50,chambre simple,,
41758127,rec32hF9oHx4POksO,,50,chambre double,,
386f0c7d,rec32hF9oHx4POksO,Repas,25,pers.,,
b437ad0f,reczq9MjKzK8unDnR,,85,chambre double avec petit déjeuner,,
9d656eb3,recZx01uZHg0R4TGL,Au delà de 4 personnes,5,pers./nuit,,
