import_batch_id,staging_object_key,staging_actor_key,interaction_type,direction,status,subject,body,source,occurred_at,resolved_at,is_actionable,demand_topic_code,source_sheet,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,recxNoi9kbaEno5Up,HoYv2075Lm,note,internal,done,Demande signalétique,demande de pose de panneau,import_berta2_crm,2016-12-31 00:00:00,2021-11-17 00:00:00,false,Demande signalétique,CRM,"{""ID"":""d0775898"",""Prestataires"":""HoYv2075Lm"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":"""",""Message"":""demande de pose de panneau"",""Humeur"":""😡"",""Date"":""31/12/2016"",""Interlocuteur"":""e.terral@otisud.com"",""Status"":""Traitée"",""Taiter_Date"":""17/11/2021"",""Humeur_apres"":"""",""Object_id"":""recxNoi9kbaEno5Up"",""Traitable"":""FALSE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,recHDhvcAecymLeQG,Jo2046w6,note,internal,done,Demande signalétique,A FAIRE 2 FG,import_berta2_crm,2018-07-16 00:00:00,2021-10-20 00:00:00,true,Demande signalétique,CRM,"{""ID"":""00322f93"",""Prestataires"":""Jo2046w6"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":"""",""Message"":""A FAIRE 2 FG"",""Humeur"":""🤔"",""Date"":""16/07/2018"",""Interlocuteur"":""e.terral@otisud.com"",""Status"":""Traitée"",""Taiter_Date"":""20/10/2021"",""Humeur_apres"":"""",""Object_id"":""recHDhvcAecymLeQG"",""Traitable"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,recr1yhoYV0cSykCz,PeLa4053Jt,note,internal,planned,Demande signalétique,panneau ?,import_berta2_crm,2018-11-14 00:00:00,,true,Demande signalétique,CRM,"{""ID"":""e45d3833"",""Prestataires"":""PeLa4053Jt"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":"""",""Message"":""panneau ?"",""Humeur"":""🤔"",""Date"":""14/11/2018"",""Interlocuteur"":""e.terral@otisud.com"",""Status"":""A traiter"",""Taiter_Date"":"""",""Humeur_apres"":"""",""Object_id"":""recr1yhoYV0cSykCz"",""Traitable"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,recUIgVhbOSmVZOpH,GaBr1335NL,note,internal,planned,Demande signalétique,pose de panneau,import_berta2_crm,2018-12-16 00:00:00,,true,Demande signalétique,CRM,"{""ID"":""820b5424"",""Prestataires"":""GaBr1335NL"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":"""",""Message"":""pose de panneau"",""Humeur"":""🤔"",""Date"":""16/12/2018"",""Interlocuteur"":""e.terral@otisud.com"",""Status"":""A traiter"",""Taiter_Date"":"""",""Humeur_apres"":"""",""Object_id"":""recUIgVhbOSmVZOpH"",""Traitable"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,recN0yEGh5spNBVpa,8145pX,note,internal,planned,Demande signalétique,ELIGIBLE !!,import_berta2_crm,2018-12-16 00:00:00,,true,Demande signalétique,CRM,"{""ID"":""74fc9b51"",""Prestataires"":""8145pX"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":""Nouveaux panneaux"",""Message"":""ELIGIBLE !!"",""Humeur"":""🤔"",""Date"":""16/12/2018"",""Interlocuteur"":""e.terral@otisud.com"",""Status"":""A traiter"",""Taiter_Date"":"""",""Humeur_apres"":"""",""Object_id"":""recN0yEGh5spNBVpa"",""Traitable"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,recdMvYzg3DHC0HF8,SePh0332t2,note,internal,planned,Demande signalétique,pose de panneau ?,import_berta2_crm,2018-12-18 00:00:00,,true,Demande signalétique,CRM,"{""ID"":""74259c92"",""Prestataires"":""SePh0332t2"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":"""",""Message"":""pose de panneau ?"",""Humeur"":""🤔"",""Date"":""18/12/2018"",""Interlocuteur"":""e.terral@otisud.com"",""Status"":""A traiter"",""Taiter_Date"":"""",""Humeur_apres"":"""",""Object_id"":""recdMvYzg3DHC0HF8"",""Traitable"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,recMNd8ISYzDXc7iM,FrBr6051sd,note,internal,planned,Demande signalétique,Dans l'attente de panneaux depuis Mars 2019,import_berta2_crm,2019-03-27 00:00:00,,true,Demande signalétique,CRM,"{""ID"":""87766f6d"",""Prestataires"":""FrBr6051sd"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":""Nouveaux panneaux"",""Message"":""Dans l'attente de panneaux depuis Mars 2019"",""Humeur"":""🤔"",""Date"":""27/03/2019"",""Interlocuteur"":""d.philippe@otisud.com"",""Status"":""A traiter"",""Taiter_Date"":"""",""Humeur_apres"":"""",""Object_id"":""recMNd8ISYzDXc7iM"",""Traitable"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,recjVuOypOyayuqqy,GuJo18883O,note,internal,done,Demande signalétique,RENFORT ENSEMBLE SIL,import_berta2_crm,2019-06-16 00:00:00,2021-12-09 00:00:00,false,Demande signalétique,CRM,"{""ID"":""6687af43"",""Prestataires"":""GuJo18883O"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":"""",""Message"":""RENFORT ENSEMBLE SIL"",""Humeur"":""🤔"",""Date"":""16/06/2019"",""Interlocuteur"":""e.terral@otisud.com"",""Status"":""Traitée"",""Taiter_Date"":""09/12/2021"",""Humeur_apres"":"""",""Object_id"":""recjVuOypOyayuqqy"",""Traitable"":""FALSE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,recwBwWyOMkcf9oER,FoLa3844RL,note,internal,planned,Demande signalétique,A récuperer son panneau + le paille en queue ( à refaire une FD),import_berta2_crm,2019-06-16 00:00:00,,true,Demande signalétique,CRM,"{""ID"":""a0e9a9be"",""Prestataires"":""FoLa3844RL"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":"""",""Message"":""A récuperer son panneau + le paille en queue ( à refaire une FD)"",""Humeur"":""🤔"",""Date"":""16/06/2019"",""Interlocuteur"":""e.terral@otisud.com"",""Status"":""A traiter"",""Taiter_Date"":"""",""Humeur_apres"":"""",""Object_id"":""recwBwWyOMkcf9oER"",""Traitable"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,rec9UKLC1tbTq5AxG,MuMa1400W9,note,internal,planned,Demande signalétique,panneau,import_berta2_crm,2019-07-03 00:00:00,,true,Demande signalétique,CRM,"{""ID"":""105b91a4"",""Prestataires"":""MuMa1400W9"",""Nom_Presta"":"""",""Objet_du_Contact"":""Demande signalétique"",""Sous-catégorie"":"""",""Message"":""panneau"",""Humeur"":""🤔"",""Date"":""03/07/2019"",""Interlocuteur"":""e.terral@otisud.com"",""Status"":""A traiter"",""Taiter_Date"":"""",""Humeur_apres"":"""",""Object_id"":""rec9UKLC1tbTq5AxG"",""Traitable"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
