import_batch_id,legacy_img_id,legacy_formulaire,url_source,main_pic_source,description_source,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,dc9facdf,rec9VUy4xPzBe6RkX,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/dc9facdf.Path.220951.jpg,false,Qualitée tourisme !,"{""Img_id"":""dc9facdf"",""Object_id"":""rec9VUy4xPzBe6RkX"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/dc9facdf.Path.220951.jpg"",""main_Pic"":""FALSE"",""Description"":""Qualitée tourisme !"",""source_system"":""berta_v2_csv_export"",""formulaire"":""rec9VUy4xPzBe6RkX""}",pending,false
old-data-berta2-all-20260501-01,0dde0989,rec9VUy4xPzBe6RkX,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/0dde0989.Path.221010.jpg,false,Qualitée tourisme !,"{""Img_id"":""0dde0989"",""Object_id"":""rec9VUy4xPzBe6RkX"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/0dde0989.Path.221010.jpg"",""main_Pic"":""FALSE"",""Description"":""Qualitée tourisme !"",""source_system"":""berta_v2_csv_export"",""formulaire"":""rec9VUy4xPzBe6RkX""}",pending,false
old-data-berta2-all-20260501-01,9d5e3aa0,recfnk0sEMlgWUqUH,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/9d5e3aa0.Path.154505.jpg,true,Qualitée tourisme !,"{""Img_id"":""9d5e3aa0"",""Object_id"":""recfnk0sEMlgWUqUH"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/9d5e3aa0.Path.154505.jpg"",""main_Pic"":""TRUE"",""Description"":""Qualitée tourisme !"",""source_system"":""berta_v2_csv_export"",""formulaire"":""recfnk0sEMlgWUqUH""}",pending,false
old-data-berta2-all-20260501-01,826855f7,recfnk0sEMlgWUqUH,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/826855f7.Path.161307.jpg,true,,"{""Img_id"":""826855f7"",""Object_id"":""recfnk0sEMlgWUqUH"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/826855f7.Path.161307.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recfnk0sEMlgWUqUH""}",pending,false
old-data-berta2-all-20260501-01,3b663cce,recfnk0sEMlgWUqUH,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/3b663cce.Path.161344.jpg,true,,"{""Img_id"":""3b663cce"",""Object_id"":""recfnk0sEMlgWUqUH"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/3b663cce.Path.161344.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recfnk0sEMlgWUqUH""}",pending,false
old-data-berta2-all-20260501-01,3b0fafaa,recfnk0sEMlgWUqUH,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/3b0fafaa.Path.115610.jpg,true,,"{""Img_id"":""3b0fafaa"",""Object_id"":""recfnk0sEMlgWUqUH"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/3b0fafaa.Path.115610.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recfnk0sEMlgWUqUH""}",pending,false
old-data-berta2-all-20260501-01,08efbe45,recjVuOypOyayuqqy,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/08efbe45.Path.055326.jpg,false,,"{""Img_id"":""08efbe45"",""Object_id"":""recjVuOypOyayuqqy"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/08efbe45.Path.055326.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recjVuOypOyayuqqy""}",pending,false
old-data-berta2-all-20260501-01,c7fe269d,recjVuOypOyayuqqy,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/c7fe269d.Path.055352.jpg,true,,"{""Img_id"":""c7fe269d"",""Object_id"":""recjVuOypOyayuqqy"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/c7fe269d.Path.055352.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recjVuOypOyayuqqy""}",pending,false
old-data-berta2-all-20260501-01,93cfda2c,recjVuOypOyayuqqy,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/93cfda2c.Path.055421.jpg,false,,"{""Img_id"":""93cfda2c"",""Object_id"":""recjVuOypOyayuqqy"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/93cfda2c.Path.055421.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recjVuOypOyayuqqy""}",pending,false
old-data-berta2-all-20260501-01,7d8495de,recBZmfIOETXxEgxz,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/7d8495de.Path.090337.jpg,true,,"{""Img_id"":""7d8495de"",""Object_id"":""recBZmfIOETXxEgxz"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/7d8495de.Path.090337.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recBZmfIOETXxEgxz""}",pending,false
old-data-berta2-all-20260501-01,1f2a34a2,recBZmfIOETXxEgxz,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/1f2a34a2.Path.090406.jpg,false,,"{""Img_id"":""1f2a34a2"",""Object_id"":""recBZmfIOETXxEgxz"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/1f2a34a2.Path.090406.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recBZmfIOETXxEgxz""}",pending,false
old-data-berta2-all-20260501-01,fdd55438,recBZmfIOETXxEgxz,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/fdd55438.Path.090435.jpg,false,,"{""Img_id"":""fdd55438"",""Object_id"":""recBZmfIOETXxEgxz"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/fdd55438.Path.090435.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recBZmfIOETXxEgxz""}",pending,false
old-data-berta2-all-20260501-01,24f8e447,recBZmfIOETXxEgxz,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/24f8e447.Path.090452.jpg,false,,"{""Img_id"":""24f8e447"",""Object_id"":""recBZmfIOETXxEgxz"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/24f8e447.Path.090452.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recBZmfIOETXxEgxz""}",pending,false
old-data-berta2-all-20260501-01,667d9fd4,recc7m3SkpexAuzvc,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/667d9fd4.Path.072832.jpg,true,,"{""Img_id"":""667d9fd4"",""Object_id"":""recc7m3SkpexAuzvc"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/667d9fd4.Path.072832.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recc7m3SkpexAuzvc""}",pending,false
old-data-berta2-all-20260501-01,093fbda0,recuP0b6rC8FOEl7B,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/093fbda0.Path.112146.jpg,false,,"{""Img_id"":""093fbda0"",""Object_id"":""recuP0b6rC8FOEl7B"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/093fbda0.Path.112146.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recuP0b6rC8FOEl7B""}",pending,false
old-data-berta2-all-20260501-01,1195402e,recuP0b6rC8FOEl7B,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/1195402e.Path.112211.jpg,false,,"{""Img_id"":""1195402e"",""Object_id"":""recuP0b6rC8FOEl7B"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/1195402e.Path.112211.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recuP0b6rC8FOEl7B""}",pending,false
old-data-berta2-all-20260501-01,1aabf7e0,recuP0b6rC8FOEl7B,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/1aabf7e0.Path.112351.jpg,false,,"{""Img_id"":""1aabf7e0"",""Object_id"":""recuP0b6rC8FOEl7B"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/1aabf7e0.Path.112351.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recuP0b6rC8FOEl7B""}",pending,false
old-data-berta2-all-20260501-01,73cd5537,recuP0b6rC8FOEl7B,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/73cd5537.Path.112427.jpg,false,,"{""Img_id"":""73cd5537"",""Object_id"":""recuP0b6rC8FOEl7B"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/73cd5537.Path.112427.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recuP0b6rC8FOEl7B""}",pending,false
old-data-berta2-all-20260501-01,45f043f3,recuP0b6rC8FOEl7B,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/45f043f3.Path.112447.jpg,false,,"{""Img_id"":""45f043f3"",""Object_id"":""recuP0b6rC8FOEl7B"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/45f043f3.Path.112447.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recuP0b6rC8FOEl7B""}",pending,false
old-data-berta2-all-20260501-01,7794b098,recuP0b6rC8FOEl7B,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/7794b098.Path.112700.jpg,false,,"{""Img_id"":""7794b098"",""Object_id"":""recuP0b6rC8FOEl7B"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/7794b098.Path.112700.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recuP0b6rC8FOEl7B""}",pending,false
old-data-berta2-all-20260501-01,150bd2a5,recuP0b6rC8FOEl7B,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/150bd2a5.Path.112741.jpg,false,,"{""Img_id"":""150bd2a5"",""Object_id"":""recuP0b6rC8FOEl7B"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/150bd2a5.Path.112741.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recuP0b6rC8FOEl7B""}",pending,false
old-data-berta2-all-20260501-01,21037423,recuP0b6rC8FOEl7B,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/21037423.Path.112902.jpg,true,,"{""Img_id"":""21037423"",""Object_id"":""recuP0b6rC8FOEl7B"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/21037423.Path.112902.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recuP0b6rC8FOEl7B""}",pending,false
old-data-berta2-all-20260501-01,6400cbf8,reckvgwjsReKhseJi,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/6400cbf8.Path.065210.jpg,true,,"{""Img_id"":""6400cbf8"",""Object_id"":""reckvgwjsReKhseJi"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/6400cbf8.Path.065210.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""reckvgwjsReKhseJi""}",pending,false
old-data-berta2-all-20260501-01,6a878171,recBTZYAoY2XoBURV,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/6a878171.Path.065857.jpg,true,,"{""Img_id"":""6a878171"",""Object_id"":""recBTZYAoY2XoBURV"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/6a878171.Path.065857.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recBTZYAoY2XoBURV""}",pending,false
old-data-berta2-all-20260501-01,d9d3a3b9,rec2hFEtbYDCJhExh,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/d9d3a3b9.Path.073437.jpg,true,,"{""Img_id"":""d9d3a3b9"",""Object_id"":""rec2hFEtbYDCJhExh"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/d9d3a3b9.Path.073437.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""rec2hFEtbYDCJhExh""}",pending,false
old-data-berta2-all-20260501-01,0a536023,recqlrw688v3ayk46,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/0a536023.Path.073609.jpg,true,,"{""Img_id"":""0a536023"",""Object_id"":""recqlrw688v3ayk46"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/0a536023.Path.073609.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recqlrw688v3ayk46""}",pending,false
old-data-berta2-all-20260501-01,3ff88f27,recEzS7wrcSBUBnRJ,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/3ff88f27.Path.050648.jpg,true,,"{""Img_id"":""3ff88f27"",""Object_id"":""recEzS7wrcSBUBnRJ"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/3ff88f27.Path.050648.jpg"",""main_Pic"":""TRUE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recEzS7wrcSBUBnRJ""}",pending,false
old-data-berta2-all-20260501-01,b2db31bf,recGIk7nWQkpYIgSf,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/b2db31bf.Path.061654.jpg,false,,"{""Img_id"":""b2db31bf"",""Object_id"":""recGIk7nWQkpYIgSf"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/b2db31bf.Path.061654.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recGIk7nWQkpYIgSf""}",pending,false
old-data-berta2-all-20260501-01,a4915413,recGIk7nWQkpYIgSf,https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/a4915413.Path.061702.jpg,false,,"{""Img_id"":""a4915413"",""Object_id"":""recGIk7nWQkpYIgSf"",""Path"":""https://ryycrdhlkmzpxwwwwupy.supabase.co/storage/v1/object/public/old_media/a4915413.Path.061702.jpg"",""main_Pic"":""FALSE"",""Description"":"""",""source_system"":""berta_v2_csv_export"",""formulaire"":""recGIk7nWQkpYIgSf""}",pending,false
