import_batch_id,staging_object_key,kind_code,unit_code,amount,currency,conditions,source,source_sheet,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,83237123,adulte,par_nuit,170.00,EUR,à partir de 2 nuits | chambre double/bungalow/nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""3ad2452b"",""Object_id"":""83237123"",""Description"":""à partir de 2 nuits"",""Tarif Montant"":""170"",""Tarif libellé"":""chambre double/bungalow/nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,83237123,adulte,par_semaine,1020.00,EUR,à partir de 2 nuits | chambre double/bungalow/semaine,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""0e12d7f7"",""Object_id"":""83237123"",""Description"":""à partir de 2 nuits"",""Tarif Montant"":""1020"",""Tarif libellé"":""chambre double/bungalow/semaine"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,558a72e5,adulte,par_personne_nuit,35.00,EUR,pers./nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""43e06f3d"",""Object_id"":""558a72e5"",""Description"":"""",""Tarif Montant"":""35"",""Tarif libellé"":""pers./nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,1076a83d,adulte,par_personne_nuit,27.00,EUR,pers./nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""9c89e1db"",""Object_id"":""1076a83d"",""Description"":"""",""Tarif Montant"":""27"",""Tarif libellé"":""pers./nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,496a765b,adulte,par_semaine,390.00,EUR,semaine,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""8c774d86"",""Object_id"":""496a765b"",""Description"":"""",""Tarif Montant"":""390"",""Tarif libellé"":""semaine"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recGtfya4sOtjkELr,adulte,,5.00,EUR,,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""82799188"",""Object_id"":""recGtfya4sOtjkELr"",""Description"":"""",""Tarif Montant"":""5"",""Tarif libellé"":"""",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,rec5VZhd6zBZNeCk5,adulte,par_personne,55.00,EUR,chambre double avec petit déjeuner/pers./repas,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""41c32123"",""Object_id"":""rec5VZhd6zBZNeCk5"",""Description"":"""",""Tarif Montant"":""55"",""Tarif libellé"":""chambre double avec petit déjeuner/pers./repas"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,rec5VZhd6zBZNeCk5,adulte,par_personne,50.00,EUR,chambre double avec petit déjeuner/pers./repas/dortoir,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""683ef605"",""Object_id"":""rec5VZhd6zBZNeCk5"",""Description"":"""",""Tarif Montant"":""50"",""Tarif libellé"":""chambre double avec petit déjeuner/pers./repas/dortoir"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,rec5VZhd6zBZNeCk5,adulte,,45.00,EUR,repas/dortoir/enfant,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""4f63e8da"",""Object_id"":""rec5VZhd6zBZNeCk5"",""Description"":"""",""Tarif Montant"":""45"",""Tarif libellé"":""repas/dortoir/enfant"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,rec5VZhd6zBZNeCk5,adulte,,30.00,EUR,À partir de | repas/dortoir/enfant,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""bbe95593"",""Object_id"":""rec5VZhd6zBZNeCk5"",""Description"":"""",""Tarif Montant"":""30"",""Tarif libellé"":""repas/dortoir/enfant"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,3d9a73ff,adulte,par_personne_nuit,55.00,EUR,À partir de | à partir de 2 nuits | pers./nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""8c60f576"",""Object_id"":""3d9a73ff"",""Description"":""à partir de 2 nuits"",""Tarif Montant"":""55"",""Tarif libellé"":""pers./nuit"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recuTyBQOgIlWc2zY,adulte,,70.00,EUR,À partir de | chambre double avec petit déjeuner,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""86ce4f88"",""Object_id"":""recuTyBQOgIlWc2zY"",""Description"":"""",""Tarif Montant"":""70"",""Tarif libellé"":""chambre double avec petit déjeuner"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
