legacy_id,sources,in_main_source,in_clean_bundle,coverage_status
004315a7,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
0050af50,Berta 2.0 - Berta 2.0 (3).csv,true,true,in_clean_bundle
0064fffb,Prestataires,false,false,missing_from_main_source
00c88cfc,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
0146553f,Prestataires,false,false,missing_from_main_source
01ebf129,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,false,not_mapped_or_filtered
022C4A9B1C,Berta 2.0 - Berta 2.0 (3).csv|D_Durable|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
02326ae4,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Prestataires,true,true,in_clean_bundle
02d1cc38,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
02f9f539,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
02fac8e4,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Prestataires,true,true,in_clean_bundle
033f1b3a,Berta 2.0 - Berta 2.0 (3).csv|CRM|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
03541d5a,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,false,not_mapped_or_filtered
03fb5fcc,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Prestataires,true,true,in_clean_bundle
041684A779,Prestataires,false,false,missing_from_main_source
0534ccd7,Prestataires,false,false,missing_from_main_source
05E89ADE3E,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
060600ca,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
0615faa3,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
06CCA673EC,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Prestataires|Tarifs,true,true,in_clean_bundle
0753592a,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
07D151EF55,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
07EA525265,Prestataires,false,false,missing_from_main_source
0834e5dc,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Prestataires|Tarifs,true,true,in_clean_bundle
0901db49,CRM|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
099dc85a,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
0CEB5E626E,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Prestataires|Tarifs,true,true,in_clean_bundle
0a4eeb01,Prestataires,false,false,missing_from_main_source
0a630ade,CRM|Galerie|Prestataires,false,false,missing_from_main_source
0b01e80a,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Prestataires,true,true,in_clean_bundle
0c52f4d6,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
0cfcf8dd,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
0cfea8b6,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
0dc15fb6,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
