source,legacy_id,name,category,subcategory,reason,provisional_object_type,mapping_review_required
Berta 2.0 - Berta 2.0 (3).csv,recaDnwM100hMyG5t,Parc Piscicole de Langevin,Etangs et rivières,Aquaculture,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recxY4pUkZnofQw1g,Village Pêche Nature,Etangs et rivières,Pêche,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,rec6dejyDi7Joy3vA,Aquasens,Etangs et rivières ; Mer,Randonnée aquatique ; kayak de mer ; Big Paddle,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,71f48e35,Terre et feu créations,Terre,Atelier poterie et céramique,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,3a638741,Lebreton France May,Terre,Exploitation agricole,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,rec2GKrBMZznC55dv,Paintball de Saint-Joseph,Terre,Paintball,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,d05d63f5,ALTIRUN,Terre,Randonnée pédestre,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recwhRDfmwSLBFmGp,Allon Bat A Pat Rando,Terre,Randonnée pédestre,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recLQNR4xAVfyM4PB,Les Cent pieds ,Terre,Randonnée pédestre,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recQ92NHVqgQnEXJ1,Rougail Rando,Terre,Randonnée pédestre,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recMgWQrTWMVok83m,Kokapat Rando,Terre,Randonnée pédestre ; Spéléologie / tunnels de lave,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,rec57GxAOD2jsh6LN,LAVE'NTURE,Terre,Randonnée pédestre ; Spéléologie / tunnels de lave,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recqN19d2eJTgPzZy,Spéléolave,Terre,Randonnée pédestre ; Spéléologie / tunnels de lave,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,402cda71,Mobilboard,Terre,Segway,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recmBT3F3xQsKoKUc,Bugg's Buggy 974,Terre,Sorties 4x4,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recAz79tqNPNUQNYF,Dimitilez-vous,Terre,Sorties 4x4,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recJbOa03QazF8GUQ,Kréolie 4x4,Terre,Sorties 4x4,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recqBcYJ6lKQoE6Q1,Z'ile 4x4,Terre,Sorties 4x4,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recB2JTuDBL25FrkJ,A'RaNd'O,Terre,V.T.T. - Autres cycles ; Randonnée pédestre,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,01ebf129,Chez I&S,Terre,VTTAE,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,03541d5a,DIMITILE BIKE,Terre,VTTAE,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,8d37b1bb,Mira Céramik Art,Terre,salle d'exposition ; Atelier poterie et céramique,activity_or_site_arbitration_required,ACT,true
Berta 2.0 - Berta 2.0 (3).csv,recpQwmcO83qNQAtR,Réunion Boutik,,,missing_category,COM,true
Berta 2.0 - Berta 2.0 (3).csv,d9f1c8dd,Auberge de campagne Les 4 Saisons,Auberge,Chambre d'hôte ; Table d'hôte,category_arbitration_required,HLO,true
Berta 2.0 - Berta 2.0 (3).csv,recA8RcBo4tXZjZIg,Au temps pour vous,,,missing_category,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,c1f84e86,Initiation au carnet de voyage,Divertissement,Art & Artisanat,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,d42800d8,ISDrawing 97430,Divertissement,Dessin,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,1b807167,FUN BALL COLORS,Divertissement,Paintball,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,recUu7UCrEm9QqdId,Paintball de Grand Coude,Divertissement,Paintball,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,recbVgtiqqHlRN8XU,Médiathèque,Divertissement,Souvenirs ; salle d'exposition,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,recqqYy1KnXoVFHaO,Le Cabaret Pat'Jaune ,Divertissement,Théâtre ou salle de spectacle,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,recYRuItssPbSiSUL,Théâtre Luc Donat,Divertissement,Théâtre ou salle de spectacle,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,recMRfMNb8z5QK5yw,Théâtre d'Azur,Divertissement,Théâtre ou salle de spectacle,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,b5309448,RODBIKELOC,Divertissement,V.T.T. - Autres cycles,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,352ab9ee,GAMIKIT,Divertissement,atelier,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,37c89345,La Gourmandise des Moches,Divertissement,atelier,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,4ca65b6f,Les Ateliers Péï,Divertissement,atelier,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,reciRau4N0LIOVTld,Apiculture Reunion,Patrimoine naturel,Agrotourisme,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,403a832a,Les Synergies d'Amandine,Patrimoine naturel,Art & Artisanat,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,1c92c8fa,Entre Fleurs et Plantes,Patrimoine naturel,Horticulture,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,recK7OqJ0GoZM2zxL,Le Jardin des Parfums et des Epices ,Patrimoine naturel,Parc - jardin,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,recw7koVvxLQYlR3r,AGENCE AVENTURE LA REUNION,Patrimoine naturel,Randonnée pédestre,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,f8006f39,Découvertes en Terres Signées,Patrimoine naturel,Randonnée pédestre,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,recaxc7Ea190mLHD4,Ricaric,Patrimoine naturel,Spéléologie / tunnels de lave,category_arbitration_required,LOI,true
Berta 2.0 - Berta 2.0 (3).csv,recSC9OXFUnSkDFs7,Auberge Le Palmier,Auberge,Auberge,category_arbitration_required,RES,true
Berta 2.0 - Berta 2.0 (3).csv,recAMIg8ptUTR5din,Auberge du Cissia,Auberge,Auberge,category_arbitration_required,RES,true
Berta 2.0 - Berta 2.0 (3).csv,rec6xFWezIgLtUSIN,Sarasvathy,Auberge,Auberge,category_arbitration_required,RES,true
Berta 2.0 - Berta 2.0 (3).csv,rec4Sp1Kc7fr9A3H4,Fleur de Vanille,Auberge,Auberge de campagne,category_arbitration_required,RES,true
Berta 2.0 - Berta 2.0 (3).csv,recmTL4WOdCrUBXSI,Ferme Auberge Clou de Girofle,Auberge,Ferme auberge,category_arbitration_required,RES,true
Berta 2.0 - Berta 2.0 (3).csv,recyo9vN3jZJkMCaG,Ferme Auberge Desprairies,Auberge,Ferme auberge,category_arbitration_required,RES,true
Berta 2.0 - Berta 2.0 (3).csv,recTTSlj16dRzY3u5,La Ferme du Pêcher Gourmand ,Auberge,Ferme auberge,category_arbitration_required,RES,true
Berta 2.0 - Berta 2.0 (3).csv,recJ0tP4935MwgGZ2,Le Bel Air ,Auberge,Ferme auberge,category_arbitration_required,RES,true
Berta 2.0 - Berta 2.0 (3).csv,recEMpzm8TU3vMA56,Le Rond de Basse Vallée ,Auberge,Ferme auberge,category_arbitration_required,RES,true
