id,Nom commercial,Raison sociale,Motif Hors ligne,En ligne,Zone,Nom de la commune,Adresse,Site web,Groupe catégorie,Nom catégorie,Nom sous catégorie,Localisations,Code postal,Bureau postal,Lieux-dits,Prestations sur place,Prestations à proximité,Mode de paiement,Langues,Fixe,Mobile,Autre téléphone,Fax,E-Mail,Capacité,Classement,Accroche,Descriptif,Descriptif du plan d'accès,Jours et horaires d'ouverture,Labels,Date de création - Etablissement,Date de fermeture,Fournisseur - Nom,Fournisseur - SIRET,Fournisseur - adresse,Fournisseur - contacts,Fournisseur - date de création,Fournisseur - Code postal,Fournisseur - Bureau,Fournisseur - Code NAF,Fournisseur - Chambre consulaire,Fournisseur - Forme juridique,Fournisseur - CFE,Nb Produits,Coordonnées GPS,Liste URL moteur,Tarif Montant,Tarif libellé,Num taxe de séjour,Descriptif OTI,Accroche OTI,Status,commentaire,Date de derniere modification,Colones modifiées,Aire d'adhésion
recPtO2ckGiW3Ndlr,Le Longboard ,,,oui,sud,Le Tampon,"265   Rue Jules Bertaut, 97430 Le Tampon",https://www.restaurant-le-longboard-tampon-974.fr/,Restauration,Restaurant,Restaurant,Centre ville,97430,Le Tampon,,,,"Chèque,Carte Bancaire,Espèces","français,créole",0262271027,,,,lelongboard@hotmail.fr,100,,Le restaurant Le Longboard accueille ses clients depuis 13 ans.,"Le bleu sage tranquille d'une vague, au décor loin de l'agitation marine, avec une convivialité et la sympathie naturelle tout en restant professionnel. 

Deux salles intérieures climatisées et chauffées, remplies de couleurs, disposées de petits coins intimes, pour les amoureux, ainsi qu'un petit coin enfants, où ils pourront regarder des dessins animés au calme ...

Une terrasse agréable et aérée pour les fumeurs pourra également convenir aux non fumeurs.

Tous les plats sont faits minutes. La carte se compose d'une dizaine d'entrées, d'une trentaine de plats et grillades, ainsi que des pizzas et des pâtes.

Quelques spécialités du restaurant : tartare de thon rouge, magret de canard sauce miel et pain d'épices, noix de saint jacques flambées au rhum, émincé de poulet sauce gingembre mangue ... et bien d'autres. 

Les pizzas et les plats sont également à emporter. ","Depuis le Sud, arrivé à la tour des Azalées, prendre à droite direction le centre-ville du Tampon. Continuer tout droit le long de la RN3. Au 3e rond-point prendre à gauche sur la rue du Général de Gaulle. Continuer tout droit jusque la Poste du Tampon, au rond-point prendre à gauche sur la rue Jules Bertaut, le restaurant sera plus bas sur votre droite.

Depuis les Plaines, sur la RN3, après la pharmacie du 11e km au rond-point prendre à droite et descendre la rue Jules Bertaut. Au 2e rond-point continuer toujours tout droit, le restaurant sera plus bas sur votre droite","Vendredi , Samedi",,,,Mr FRANCK Versluys,448519983,"Mr FRANCK Versluys: 150-178 Rue Jules Bertaut, 97430 Le Tampon ",Mr FRANCK Versluys : lelongboard@hotmail.fr - 0692833648,,,,,,,,,"-21.278687, 55.519913",,,,,,,,,,,
recTTSlj16dRzY3u5,La Ferme du Pêcher Gourmand ,,,oui,sud,Le Tampon,"141 rue Alfred Lacroix PK 25 RN3, 97418 Le Tampon - La Plaine des Cafres",http://www.pechergourmand.re,Restauration,Auberge,Ferme auberge,"Village,Milieu rural",97418,La Plaine des Cafres,La Plaine des Cafres,"chauffage , jardin , parking , aire de jeux pour enfant","sentier de randonnée,commerce alimentaire,équitation,parking public,point de vue panoramique","Carte Bancaire,Eurocard,Chèque,Chèques vacances,Espèces","français,créole",0262592979,,,,pecher-gourmand@orange.fr,80,,"Blottie dans un vaste écrin de verdure avec vue imprenable sur le piton des Neiges et les remparts du Dimitile, la ferme auberge de Hélène et Dany Angama offre un havre de paix exceptionnel à quelques minutes de Bourg-Murat.","Plats à base de canard et de produit du terroir façon du sud-ouest et réunionnaise. 
Spécialités: foie gras de canard, cassoulet, confits, cari de canard fumé, porc palmiste ... . 
L'auberge dispose de plusieurs espaces intérieurs chauffés et d'une grande terrasse couverte.","Prendre la RN3 (route des Plaines), les panneaux Ferme du Pêcher Gourmand se trouvent en bordure de route à mi-chemin entre le village de La Plaine des Cafres (dit 23ème) et le village de Bourg Murat (dit 27ème). L'entrée se situe entre les filaos qui bordent la Route Nationale et la ferme se trouve à 50 m en contrebas.",,,,,Mme Dany Dijoux,48826191800012,"Mme Dany Dijoux: RN3, 97418 La Plaine des Cafres ",Mme Dany Dijoux : pecher-gourmand@orange.fr - 0692661248,,,,,,,,,"-21.214961, 55.561759",,,,,,,,,,,AD2R
rec6xFWezIgLtUSIN,Sarasvathy,,,oui,sud,Le Tampon,"34  Chemin du Grand Tampon, 97430 Le Tampon",,Restauration,Auberge,Auberge,"Village,Milieu rural",97430,Le Tampon,,wifi,"sentier de randonnée,commerce alimentaire,équitation","Chèque,Espèces","français,créole",,0692 85 21 55,,,payettraiteur@outlook.fr,130,,"Dans un cadre chaleureux et calme, l'auberge Sarasvathy propose détente et confort au Tampon.","L'auberge propose une cuisine indienne, métropolitaine et créole. Les plats sont préparés à partir des produits frais. L'auberge propose également une cuisine sans porc et sans bœuf. Capacités : 130 couverts.","Depuis le Sud  : prendre la 4 voies direction le Tampon. Arrivé au rond-point de la tour des Azalées, prendre la 1ère à droite. Continuer tout droit jusqu’au 3ème rond-point et prendre la direction de Bérive. Poursuivre tout droit jusqu’au panneau de direction Grand Tampon, Notre Dame de la Paix. La chambre d’hôte se trouve sur la droite.

Depuis les Plaines : suivre la RN3 en direction du Tampon jusqu’au rond-point des 600. Prendre la direction de Bérive (3ème sortie). Continuer tout droit jusqu’au panneau de direction Grand Tampon Notre Dame de la Paix, la chambre d’hôte se trouve sur la droite. ",,,,,Mr Guito Firoaguer,,"Mr Guito Firoaguer: 34 Chemin du Grand Tampon, 97430 Le Tampon ",Mr Guito Firoaguer : payettraiteur@outlook.fr - 0692852155,,,,,,,,,"-21.293325, 55.534835",,,,,,,,,,,AD2R
recN5bNxgghhfpEHE,La Kaz ,,,oui,sud,Le Tampon,"2  Rue Josemont Lauret, 97418 Le Tampon - La Plaine des Cafres",,Restauration,Restaurant,Restaurant,"Village,Montagne",97418,La Plaine des Cafres,La Plaine des Cafres,parking,"sentier de randonnée,sentier de grande randonnée,commerce alimentaire,parking public,site - lieu culturel","Carte Bancaire,Eurocard,Chèque,Tickets restaurant,Espèces","français,créole,anglais",0262 57 40 59,,,,mu.techer@laposte.net,60,,"A La Plaine des Cafres, le restaurant La Kaz propose une cuisine traditionnelle au feu de bois.","Il propose également des spécialités sénégalaises le week-end.
Restaurant ouvert tous les jours ainsi que les jours fériés de 11h à 22h.","Depuis le Sud, arrivé au Tampon, continuer sur la RN3 jusque la Plaine des Cafres, au rond-point de la Cité du Volcan, prendre à gauche et continuer tout droit pour arriver au restaurant.",Dimanche,,,,Mme Murielle Técher,81859571200014,"Mme Murielle Técher: 2 Rue Josemont Lauret, 97418 La Plaine des Cafres ",Mme Murielle Técher : mu.techer@laposte.net - 0693603776,,,,,,,,,"-21.204066, 55.577989",,,,,,,,,,,AD2R
recq6NjQ3PFZtvNIp,L'Orient Express ,,,oui,sud,Saint-Joseph,"134  Rue Raphael Babet, 97480 Saint-Joseph",,Restauration,Restaurant,Restaurant,Centre ville,97480,Saint-Joseph,,"climatisation , salle de réunion - séminaire","plage,tennis,pêche,riviere,centre commercial,parking public,site - lieu culturel","Carte Bancaire,Eurocard,Chèque,Chèques vacances,Tickets restaurant,Espèces,American express","français,créole,anglais",0262 56 28 38,,,,nicolas.cyh@wanadoo.fr,80,,,"Situé à Saint-Joseph, le restaurant l'Orient Express propose un large choix de menus à petits prix. Capacité : 80 couverts. 
Sur place à partir de 6,50 €. ",,,,,,Mr Nicolas Chan-yu-hon,35369737800019,"Mr Nicolas Chan-yu-hon: 134 Rue Raphael Babet, 97480 Saint-Joseph ",Mr Nicolas Chan-yu-hon : nicolas.cyh@wanadoo.fr - 0692773097,,,,,,,,,"-21.377112, 55.615271",,,,,,,,,,,
0834e5dc,Association Rosaline,,,non,sud,Saint-Joseph,"8 Impasse des lys, 97480 Saint-Joseph - Grand Coude",,Restauration,Autre type de restauration,Gato Peï,Village des Hauts,97480,Saint-Joseph,Grand Coude,"matériel pour l'activité , grand espace , vue mer , vue montagne","sentier de randonnée,commerce alimentaire,parking public,point de vue panoramique,sentier de grande randonnée",,"français,créole",,0692 88 54 25,,,sylvieguichard974@gmail.com,,,"Sur Grand-Coude depuis le 16 mai 2016
L’association est née d’une idée, pour rendre hommage à Rosaline GUICHARD et à tous nos aînés sur le village","Gâteaux pays, artisanat local, ateliers,...",Grand Coude,,,9/2/2022,,Mme Sylvie GUICHARD,83249790300019,"Mme Sylvie GUICHARD: 133 route de Grand Coude, 97480 Saint-Joseph ",Mme Sylvie GUICHARD : sylvieguichard974@gmail.com - 0692885425,,,,,,,,,"-21.295779, 55.627067",,,,,,,,,,,AD2R
recwIlCEX9xuH8gkn,L'Eau Forte ,,,oui,sud,Saint-Joseph,"137 b Blvrd de l'Ocean, 97480 Saint-Joseph - Manapany-Les-Bains",https://eaufortest.jimdofree.com/,Hébergement,Location saisonnière,Appartement,Littoral,97480,Saint-Joseph,Manapany-Les-Bains,"Cafetière , cuisine équipée , bibliothéque , climatisation , salon , vue mer , balcon , barbecue , four , jardin , micro-ondes , parking , TV","plage,sentier de randonnée,riviere,VTT,forêt","Chèque,Espèces","français,anglais,allemand,italien",0262563284,,,,eau-forte@wanadoo.fr,2,2 Etoile(s),"Meublé de tourisme tout confort pour 2 personnes, situé au bord de l'océan avec une vue imprenable sur la baie de Manapany.","Appartement de 36 m2 directement en bord de mer.
Rdc: séjour-kitchenette équipée-terrasse.
Etage: chambre climatisée-lit double -salle de bain(douche). 
Parking devant l'entrée du meublé.
Petit jardin
le jardin est accessible et vous pourrez vous y installer pour votre plaisir, il donne accès directement par un escalier au bassin de baignade... un barbecue est également disponible.","De Saint-Pierre, prendre direction Saint-Joseph, passer le rond point de Petite-Île et franchir le pont de la ravine Manapany jusqu'au croisement de Manapany les Bains, 1,5 km avant Saint-Joseph. Quitter la nationale sur la droite et rejoindre le boulevard de l'Océan, poursuivre jusqu'au restaurant chez Jo, derrière lequel se trouve une petite impasse. Rouler jusqu'à la troisième maison de cette impasse sur la droite.",,,,,Mme Susanna Ducros,43299257600012,"Mme Susanna Ducros: 137 b Blvrd de l'Ocean, 97480 Saint-Joseph - Manapany-Les-Bains",Mme Susanna Ducros : eau-forte@wanadoo.fr - 0692790872,,,,,,,,,"-21.37360367, 55.58884062",,,,CSC41HTE,,,,,,,
recR99OmSXnqpQRCv,Ferme Lebon Papillon,,,oui,sud,Le Tampon,"90  Chemin des Papillons Pont d'Yves Tampon, 97430 Le Tampon - Bras de Pontho",http://www.fermelebon.fr,Restauration,Table d'hôtes,Table d'hôte,Milieu rural,97430,Le Tampon,Bras de Pontho,"parking , grand espace , espace de restauration , repas traditionnels","commerce alimentaire,parking public,point de vue panoramique,sentier de grande randonnée","Chèque,Espèces","français,créole",,0692 88 27 04,,,fermelebonpapillon@gmail.com,20,,"Située au Tampon, Ferme Lebon Papillon dispose d'une table d'hôte labellisée Accueil Paysan qui propose une cuisine créole traditionnelle.","Spécialités : poulet songe, poulet papaye sont proposés à la table paysanne. Découvrir ou redécouvrir les produits lontan avec Murielle et David.
Dans une ambiance calme et verdoyante, fraîcheur garantie avec les produits maraîchers cultivés sur place en agriculture bio.
Ouvert tous les jours midi et soir sur réservation 2 jours avant (min de 5 personnes) .","De Saint-Pierre  RN3 jusqu'au RP du 17ème km, prendre à gauche au petit RP, prendre le chemin de la Salette point de repère le champ d'agrume à droite, tourner au chemin Tiguet puis au radier le chemin Papillon,  panneau Ferme Lebon Papillon à gauche, suivre le panneau. 
Depuis Saint-Benoît RN3 jusqu'au RP du 17ème km prendre à droite, même itinéraire. ","Lundi , Mardi , Mercredi , Jeudi , Vendredi , Samedi , Dimanche",Accueil Payasn,,,Mme Murielle Lebon,81195195300017,"Mme Murielle Lebon: 90 Chemin des Papillons, 97430 Le Tampon - Pont d'Yves",Mme Murielle Lebon : fermelebonpapillon@gmail.com - 0692882704,,,,,,,,,"-21.230521, 55.516476",,,,,,,,,,,AD2R
59a1e210,Le Cyprès,,,non,sud,Saint-Joseph,"57 Rue Cyprès, 97480 Saint-Joseph - Vincendo",https://www.caroandconciergerie.com/?fbclid=IwAR30Q4E5eRxjjDMEIRN1hoFRHwZntTWHr0fQjWOMVnVrHVVMAq3kHPlnOcs,Hébergement,Location saisonnière,Maison,Milieu rural,97480,Saint-Joseph,Vincendo,"Lit parapluie sur demande , bain à remous , barbecue , fer et planche à repasser , piscine , jacuzzi , jardin , TV , ventilateur , vue montagne , vue mer , linge de maison , salon , lave vaisselle , micro-ondes , linge de toilette , douche , four , Cafetière , frigo , wifi , terrasse , cuisine équipée , billard , salle à manger , salon de jardin , serviettes. , plaque de cuisson , sèche-cheveux , bouilloire , grille-pain , parking sécurisé , dressing","sentier de randonnée,point de vue panoramique,sites touristiques,Centre - Ville,commerce alimentaire,arrêt bus,poste - boite aux lettres,station service,boulangerie,Point chaud,sites - lieux culturels","Virement,Espèces,booking,airbnb,Abritel,Caro&co","français,anglais",,,,,someyya.rassolmian@gmail.com,6,4 Etoile(s),"Au cœur du Sud Sauvage 🦎 de la Réunion venez-vous détendre au bord de la piscine ou du jacuzzi, et vous divertir grâce au billard dans la varangue !","Maison comprenant 3 chambres, séjour, salon, cuisine équipée, grande varangue avec billard, jacuzzi, piscine (chauffée pendant l'hiver austral). Un stationnement privatif

🛎 Un portail permettant l'accès au logement, un stationnement possible à l'entrée. En face du logement un parking public permet le stationnement de véhicules.
Extérieur composé d'un jardin, d'un jacuzzi abrité et d'une piscine (chauffée pendant l'hiver austral)
Un barbecue est à votre disposition pour passer un agréable séjour.

Accès depuis la grande varangue équipée d'une table à manger extensible, salon de jardin, et d'un billard pour divertir vos soirées.

De la baie vitrée, vous entrerez dans le salon et la cuisine entièrement équipée (four, micro ondes, réfrigérateur, vaisselles, marmite à riz, cafetière, bouilloire, ...). Accès à une cuisine extérieure abritée.

De cet espace, un couloir dessert :
* une buanderie : avec lave-linge et étendoir.
* une première chambre avec un lit 160 x 200 cm avec rangement à disposition.
* une seconde chambre avec un lit 160 x 200 cm avec rangement à disposition.
* une salle d'eau avec douche à l'italienne, sèche-serviettes, double vasque.
Les serviettes de toilettes sont fournis.
* un WC séparé
* une troisième chambre avec un lit 160 x 200 cm avec rangement à disposition.

☆ Petits plus inclus ☆
Lit parapluie à disposition sur demande gratuitement.

N’hésitez pas à me faire part de vos demandes particulières
Accès des voyageurs
Les voyageurs auront accès à l'ensemble de la propriété.
Autres remarques
➡️ Fêtes et musiques bruyantes interdites.
➡️ Intérieur de la maison non fumeur.
➡️ Animaux non admis.","Situé à seulement 15 mins du centre-ville de Saint-Joseph, et 5 mins du centre de Vincendo",,,29/11/2023,,Mme Someyya RASSOLMIAN,80356608200027,"Mme Someyya RASSOLMIAN: 42 B rue Antoine Bertin, 97421 Saint - Louis ",Mme Someyya RASSOLMIAN : someyya.rassolmian@gmail.com - 0693 50 84 90,,,,,,,,,"-21.358121, 55.661485",,,,CSC611HTH,,,,,,,
89572a7e,Ka Hema,,,non,sud,Saint-Joseph,"43 chemin des Girofles, 97480 Saint-Joseph - Vincendo",,Hébergement,Location saisonnière,Gîte & Villa,Littoral,97480,Saint-Joseph,Vincendo,"barbecue , climatisation , fer et planche à repasser , jacuzzi , vue mer , linge de maison , salon , jardin , TV , lave vaisselle , lave linge privatif , micro-ondes , salle de bain privée , wifi , douche , four , terrasse , salon de jardin , linge de toilette , salle de bain , cuisine équipée , jardin clôturé , salle à manger , plaque de cuisson , frigo , canal plus… , Tout équipé, wifi","sentier de randonnée,commerce alimentaire,point de vue panoramique,sites touristiques,arrêt bus,poste - boite aux lettres,station service","Virement,Espèces,Paypal,airbnb,booking","français,créole,anglais",,0692 22 26 80,,,gl1973@orange.fr,6,3 Etoile(s),"Bienvenue à Ka Hema, location saisonnière entièrement rénovée et meublée à neuf. Située dans un endroit calme et verdoyant avec une vue imprenable sur l’océan.","La location est conçue pour 6 personnes et bénéficie d’un emplacement idéal pour vous ressourcer en famille et visiter les nombreux sites touristiques alentours. Se trouvant à 1 minute de la route nationale, notre location est proche de toutes commodités (supermarchés, restaurants, pizzérias, boulangeries/pâtisseries, presse/tabac…)

Le logement comprend :
- Un coin jacuzzi privé et intime à l’arrière de la maison sous une varangue terrasse couverte avec une petite table, ses chaises et ses 2 transats bain de soleil pour vos moments de détente et de lecture privilégiés
- 2 chambres climatisées avec armoire/dressing (draps, oreillers, couettes et couvertures polaires fournis)
- Une cuisine entièrement équipée (réfrigérateur + compartiment congélateur, lave vaisselle, four catalyse chaleur tournante, hotte aspirante, four micro onde, grille-pain, cafetière électrique + machine espresso Senseo, bouilloire, toute la vaisselle et ustensiles de cuisine…)
- Un coin salle à manger avec sa table et ses 6 chaises et un coin salon avec son canapé convertible de bonne qualité et son matelas confortable 140x190.
- Un téléviseur HD et une connexion haut débit + wifi dans toute la maison avec 60 chaînes et services inclus, dont 30 chaînes en HD. Vous retrouvez les chaînes locales, nationales, internationales et thématiques.
- Une salle de bain avec douche à l’italienne, lave linge, sèche cheveux, fer à repasser, table à langer…
- Des toilettes indépendantes
- Une varangue terrasse couverte de 20 m² à l’avant de la maison avec un coin salon de jardin et une table extensible jusqu’à 6 personnes pour bénéficier des repas à l’extérieur et profiter de la vue panoramique sur l’océan indien.
- Un coin jardin avec cuisine extérieure, barbecue face à la mer, réchaud fonte 3 robinets…
• Les fêtes et soirées bruyantes ne sont pas autorisées
• Les animaux de compagnie ne sont pas autorisés

Les voyageurs ont l'intégralité de la maison à leur disposition.","Le quartier de Girofle se trouve à la sortie de Vincendo entre la commune de Saint-Joseph et de Saint-Philippe. 
A la jonction de la rue Marcel Pagnol et de la rue Louis Blérot, prendre la rue de l'horizon en direction de ""la Crête - Jacques Payet - Matouta"" 
Retour sur 200m environ puis prendre à droite ""chemin des girofles""
Puis prendre la premiere rue à droite, puis gauche, puis droite 
Enfin montez la petite pente bétonnée jusqu'au bout.",,,5/12/2022,,Mme Manuella LEFEVRE,91256346700014,"Mme Manuella LEFEVRE: 8 chemin Bassin Pilon Canots, 97421 La Rivière Saint-Louis ",Mme Manuella LEFEVRE : gl1973@orange.fr - 0692 22 26 80,,,,,,,,,"-21.369708, 55.687724",,,,CSC545HTN,,,,,,,
