"object_type","group","bertel_table","bertel_field","tourinsoft_collection","tourinsoft_field","cardinality","transform","crosswalk_domain","required","privacy","mapping_status","review_status","evidence","notes"
"HOT|HLO|CAMP","object","","","","AccueilPMR","0..1","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 209/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","object_location","address1","","Adresse1","0..1","direct","","observed_100pct","public","direct","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","object_location","address2","","Adresse2","0..1","direct","","optional","public","direct","approved","FSHebergementOTISud 14/211",""
"HOT|HLO|CAMP","object","object_location","address3","","Adresse3","0..1","direct","","optional","public","direct","approved","FSHebergementOTISud 0/211",""
"HOT|HLO|CAMP","object","","","","Allinclusive","0..1","source_missing","","optional","public","source_missing","pending_crt","FSHebergementOTISud 8/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","Bureau.ThesCode","0..1","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 211/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","Bureau.ThesID","0..1","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","","","","Bureau.ThesLibelle","0..1","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 211/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","Bureau.ThesOrdre","0..1","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","","","","Bureau.ThesPicto","0..1","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/211",""
"HOT|HLO|CAMP","object","","","","Chaine","0..1","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 0/210","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","Chaine.ThesCode","0..1","source_missing","","observed_100pct","public","source_missing","pending_crt","FSHebergementOTISud 1/1","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","Chaine.ThesID","0..1","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 1/1",""
"HOT|HLO|CAMP","object","","","","Chaine.ThesLibelle","0..1","source_missing","","observed_100pct","public","source_missing","pending_crt","FSHebergementOTISud 1/1","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","Chaine.ThesOrdre","0..1","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 1/1",""
"HOT|HLO|CAMP","object","","","","Chaine.ThesPicto","0..1","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/1",""
"HOT|HLO|CAMP","object","","","","ClassementPrefectoral","0..1","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 70/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","ClassificationType","0..1","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 0/1","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","ClassificationType.ThesCode","0..1","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 210/210","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","ClassificationType.ThesID","0..1","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 210/210",""
