feed,path,scope,collection,name,edm_type,declared,observed,observed_count,non_empty_count,empty_count,coverage_pct,present_in_feed_count,reuse_class,coverage_status,mapping_status,evidence
decouverte,object.AccueilPMR,object,,AccueilPMR,Edm.Boolean,True,True,49,49,0,100.0,4,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Adresse1,object,,Adresse1,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Adresse2,object,,Adresse2,Edm.String,True,True,49,2,47,4.1,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Adresse3,object,,Adresse3,Edm.String,True,True,49,0,49,0.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Bureau.ThesCode,object,,Bureau.ThesCode,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Bureau.ThesID,object,,Bureau.ThesID,Edm.Guid,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Bureau.ThesLibelle,object,,Bureau.ThesLibelle,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Bureau.ThesOrdre,object,,Bureau.ThesOrdre,Edm.Int32,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Bureau.ThesPicto,object,,Bureau.ThesPicto,Edm.String,True,True,49,0,49,0.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.ClassificationType.ThesCode,object,,ClassificationType.ThesCode,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.ClassificationType.ThesID,object,,ClassificationType.ThesID,Edm.Guid,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.ClassificationType.ThesLibelle,object,,ClassificationType.ThesLibelle,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.ClassificationType.ThesOrdre,object,,ClassificationType.ThesOrdre,Edm.Int32,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.ClassificationType.ThesPicto,object,,ClassificationType.ThesPicto,Edm.String,True,True,49,0,49,0.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.CodeINSEE,object,,CodeINSEE,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.CodePostal,object,,CodePostal,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Commune,object,,Commune,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.EnLigne,object,,EnLigne,Edm.Boolean,True,True,49,49,0,100.0,2,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.GmapLatitude,object,,GmapLatitude,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.GmapLongitude,object,,GmapLongitude,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Groupeaccepte,object,,Groupeaccepte,Edm.Boolean,True,True,49,1,48,2.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.IdentifiantSoubik,object,,IdentifiantSoubik,Edm.String,True,True,49,48,1,98.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Lieudit,object,,Lieudit,TourInSoft.V5.Syndication.Syndication_FSDECOUVERTEOTISud_428EC9B6BEE14C85B372B15969FB2A19.ListeComplexType,False,True,34,0,34,0.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Lieudit.ThesCode,object,,Lieudit.ThesCode,Edm.String,True,True,15,15,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Lieudit.ThesID,object,,Lieudit.ThesID,Edm.Guid,True,True,15,15,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Lieudit.ThesLibelle,object,,Lieudit.ThesLibelle,Edm.String,True,True,15,15,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Lieudit.ThesOrdre,object,,Lieudit.ThesOrdre,Edm.Int32,True,True,15,15,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Lieudit.ThesPicto,object,,Lieudit.ThesPicto,Edm.String,True,True,15,0,15,0.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Nometablissement,object,,Nometablissement,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.ObjectTypeFix,object,,ObjectTypeFix,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.ObjectTypeName,object,,ObjectTypeName,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Published,object,,Published,Edm.DateTime,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.RaisonSociale,object,,RaisonSociale,Edm.String,True,True,49,17,32,34.7,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.SIRET,object,,SIRET,Edm.String,True,True,49,37,12,75.5,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.SyndicObjectID,object,,SyndicObjectID,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
