feed,scope,collection,name,type,declared,observed,count,non_empty,empty,coverage_pct
decouverte,object,,AccueilPMR,Edm.Boolean,True,True,49,49,0,100.0
decouverte,object,,Adresse1,Edm.String,True,True,49,49,0,100.0
decouverte,object,,Adresse2,Edm.String,True,True,49,2,47,4.1
decouverte,object,,Adresse3,Edm.String,True,True,49,0,49,0.0
decouverte,object,,Bureau.ThesCode,Edm.String,True,True,49,49,0,100.0
decouverte,object,,Bureau.ThesID,Edm.Guid,True,True,49,49,0,100.0
decouverte,object,,Bureau.ThesLibelle,Edm.String,True,True,49,49,0,100.0
decouverte,object,,Bureau.ThesOrdre,Edm.Int32,True,True,49,49,0,100.0
decouverte,object,,Bureau.ThesPicto,Edm.String,True,True,49,0,49,0.0
decouverte,object,,ClassificationType.ThesCode,Edm.String,True,True,49,49,0,100.0
decouverte,object,,ClassificationType.ThesID,Edm.Guid,True,True,49,49,0,100.0
decouverte,object,,ClassificationType.ThesLibelle,Edm.String,True,True,49,49,0,100.0
decouverte,object,,ClassificationType.ThesOrdre,Edm.Int32,True,True,49,49,0,100.0
decouverte,object,,ClassificationType.ThesPicto,Edm.String,True,True,49,0,49,0.0
decouverte,object,,CodeINSEE,Edm.String,True,True,49,49,0,100.0
decouverte,object,,CodePostal,Edm.String,True,True,49,49,0,100.0
decouverte,object,,Commune,Edm.String,True,True,49,49,0,100.0
decouverte,object,,EnLigne,Edm.Boolean,True,True,49,49,0,100.0
decouverte,object,,GmapLatitude,Edm.String,True,True,49,49,0,100.0
decouverte,object,,GmapLongitude,Edm.String,True,True,49,49,0,100.0
decouverte,object,,Groupeaccepte,Edm.Boolean,True,True,49,1,48,2.0
decouverte,object,,IdentifiantSoubik,Edm.String,True,True,49,48,1,98.0
decouverte,object,,Lieudit,TourInSoft.V5.Syndication.Syndication_FSDECOUVERTEOTISud_428EC9B6BEE14C85B372B15969FB2A19.ListeComplexType,False,True,34,0,34,0.0
decouverte,object,,Lieudit.ThesCode,Edm.String,True,True,15,15,0,100.0
decouverte,object,,Lieudit.ThesID,Edm.Guid,True,True,15,15,0,100.0
decouverte,object,,Lieudit.ThesLibelle,Edm.String,True,True,15,15,0,100.0
decouverte,object,,Lieudit.ThesOrdre,Edm.Int32,True,True,15,15,0,100.0
decouverte,object,,Lieudit.ThesPicto,Edm.String,True,True,15,0,15,0.0
decouverte,object,,Nometablissement,Edm.String,True,True,49,49,0,100.0
decouverte,object,,ObjectTypeFix,Edm.String,True,True,49,49,0,100.0
decouverte,object,,ObjectTypeName,Edm.String,True,True,49,49,0,100.0
decouverte,object,,Published,Edm.DateTime,True,True,49,49,0,100.0
decouverte,object,,RaisonSociale,Edm.String,True,True,49,17,32,34.7
decouverte,object,,SIRET,Edm.String,True,True,49,37,12,75.5
decouverte,object,,SyndicObjectID,Edm.String,True,True,49,49,0,100.0
decouverte,object,,SyndicObjectName,Edm.String,True,True,49,49,0,100.0
decouverte,object,,SyndicObjectOrder,Edm.Int64,True,True,49,49,0,100.0
decouverte,object,,SyndicStructureId,Edm.Guid,True,True,49,49,0,100.0
decouverte,object,,TIS_TRACKING_LISTING_OFFRE,Edm.String,True,True,49,49,0,100.0
decouverte,object,,TIS_TRACKING_OFFRE,Edm.String,True,True,49,49,0,100.0
decouverte,object,,Updated,Edm.DateTime,True,True,49,49,0,100.0
decouverte,relation,Animauxs,Animauxacceptes,Edm.Boolean,True,True,3,1,2,33.3
decouverte,relation,Animauxs,Complementdinformations,Edm.String,True,True,3,0,3,0.0
decouverte,relation,Animauxs,ID,Edm.Int64,True,True,3,3,0,100.0
decouverte,relation,Animauxs,Ordre,Edm.Int64,True,True,3,3,0,100.0
decouverte,relation,Animauxs,SyndicObjectId,Edm.String,True,True,3,3,0,100.0
decouverte,relation,Capacites,Capacite,Edm.Double,True,True,3,2,1,66.7
decouverte,relation,Capacites,ID,Edm.Int64,True,True,3,3,0,100.0
decouverte,relation,Capacites,Ordre,Edm.Int64,True,True,3,3,0,100.0
decouverte,relation,Capacites,SyndicObjectId,Edm.String,True,True,3,3,0,100.0
decouverte,relation,Chaines,Groupe,TourInSoft.V5.Syndication.Syndication_FSDECOUVERTEOTISud_428EC9B6BEE14C85B372B15969FB2A19.ListeComplexType,False,True,3,0,3,0.0
decouverte,relation,Chaines,Groupe.ThesCode,Edm.String,True,False,0,0,0,0
decouverte,relation,Chaines,Groupe.ThesID,Edm.Guid,True,False,0,0,0,0
decouverte,relation,Chaines,Groupe.ThesLibelle,Edm.String,True,False,0,0,0,0
decouverte,relation,Chaines,Groupe.ThesOrdre,Edm.Int32,True,False,0,0,0,0
decouverte,relation,Chaines,Groupe.ThesPicto,Edm.String,True,False,0,0,0,0
decouverte,relation,Chaines,ID,Edm.Int64,True,True,3,3,0,100.0
decouverte,relation,Chaines,Ordre,Edm.Int64,True,True,3,3,0,100.0
decouverte,relation,Chaines,Reseaux,TourInSoft.V5.Syndication.Syndication_FSDECOUVERTEOTISud_428EC9B6BEE14C85B372B15969FB2A19.ListeComplexType,False,True,3,0,3,0.0
decouverte,relation,Chaines,Reseaux.ThesCode,Edm.String,True,False,0,0,0,0
decouverte,relation,Chaines,Reseaux.ThesID,Edm.Guid,True,False,0,0,0,0
decouverte,relation,Chaines,Reseaux.ThesLibelle,Edm.String,True,False,0,0,0,0
