path,scope,collection,field,feeds,reuse_class,bertel_source,transform,mapping_status,review_status,implementation,evidence,notes
Access.Descriptifduplandacces,relation,Access,Descriptifduplandacces,hebergement,feed_specific,object_location.direction,strip_markdown,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Alias selected by profile
Access.ID,relation,Access,ID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Access.Ordre,relation,Access,Ordre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Access.SyndicObjectId,relation,Access,SyndicObjectId,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Animauxacceptess.Animauxacceptes,relation,Animauxacceptess,Animauxacceptes,hebergement,feed_specific,object_pet_policy,profile_alias,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Canonical pet policy
Animauxacceptess.Complementdinfo,relation,Animauxacceptess,Complementdinfo,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Animauxacceptess.Complementdinfo.ThesCode,relation,Animauxacceptess,Complementdinfo.ThesCode,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Animauxacceptess.Complementdinfo.ThesID,relation,Animauxacceptess,Complementdinfo.ThesID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Animauxacceptess.Complementdinfo.ThesLibelle,relation,Animauxacceptess,Complementdinfo.ThesLibelle,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Animauxacceptess.Complementdinfo.ThesOrdre,relation,Animauxacceptess,Complementdinfo.ThesOrdre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Animauxacceptess.Complementdinfo.ThesPicto,relation,Animauxacceptess,Complementdinfo.ThesPicto,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Animauxacceptess.Complementdinformations,relation,Animauxacceptess,Complementdinformations,hebergement,feed_specific,object_pet_policy,profile_alias,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Canonical pet policy
Animauxacceptess.ID,relation,Animauxacceptess,ID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Animauxacceptess.Ordre,relation,Animauxacceptess,Ordre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
