schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,identity,generated,comment
audit,audit_log,1,id,bigint,f,nextval('audit.audit_log_id_seq'::regclass),"","",
audit,audit_log,2,table_name,text,f,,"","",
audit,audit_log,3,operation,text,f,,"","",
audit,audit_log,4,row_pk,jsonb,t,,"","",
audit,audit_log,5,before_data,jsonb,t,,"","",
audit,audit_log,6,after_data,jsonb,t,,"","",
audit,audit_log,7,changed_at,timestamp with time zone,f,now(),"","",
audit,audit_log,8,changed_by,text,t,,"","",
audit,audit_log_2026_03,1,id,bigint,f,nextval('audit.audit_log_id_seq'::regclass),"","",
audit,audit_log_2026_03,2,table_name,text,f,,"","",
audit,audit_log_2026_03,3,operation,text,f,,"","",
audit,audit_log_2026_03,4,row_pk,jsonb,t,,"","",
audit,audit_log_2026_03,5,before_data,jsonb,t,,"","",
audit,audit_log_2026_03,6,after_data,jsonb,t,,"","",
audit,audit_log_2026_03,7,changed_at,timestamp with time zone,f,now(),"","",
audit,audit_log_2026_03,8,changed_by,text,t,,"","",
audit,audit_log_2026_04,1,id,bigint,f,nextval('audit.audit_log_id_seq'::regclass),"","",
audit,audit_log_2026_04,2,table_name,text,f,,"","",
audit,audit_log_2026_04,3,operation,text,f,,"","",
audit,audit_log_2026_04,4,row_pk,jsonb,t,,"","",
audit,audit_log_2026_04,5,before_data,jsonb,t,,"","",
audit,audit_log_2026_04,6,after_data,jsonb,t,,"","",
audit,audit_log_2026_04,7,changed_at,timestamp with time zone,f,now(),"","",
audit,audit_log_2026_04,8,changed_by,text,t,,"","",
audit,audit_log_2026_05,1,id,bigint,f,nextval('audit.audit_log_id_seq'::regclass),"","",
audit,audit_log_2026_05,2,table_name,text,f,,"","",
audit,audit_log_2026_05,3,operation,text,f,,"","",
audit,audit_log_2026_05,4,row_pk,jsonb,t,,"","",
audit,audit_log_2026_05,5,before_data,jsonb,t,,"","",
audit,audit_log_2026_05,6,after_data,jsonb,t,,"","",
audit,audit_log_2026_05,7,changed_at,timestamp with time zone,f,now(),"","",
audit,audit_log_2026_05,8,changed_by,text,t,,"","",
audit,audit_log_2026_06,1,id,bigint,f,nextval('audit.audit_log_id_seq'::regclass),"","",
audit,audit_log_2026_06,2,table_name,text,f,,"","",
audit,audit_log_2026_06,3,operation,text,f,,"","",
audit,audit_log_2026_06,4,row_pk,jsonb,t,,"","",
audit,audit_log_2026_06,5,before_data,jsonb,t,,"","",
audit,audit_log_2026_06,6,after_data,jsonb,t,,"","",
audit,audit_log_2026_06,7,changed_at,timestamp with time zone,f,now(),"","",
audit,audit_log_2026_06,8,changed_by,text,t,,"","",
audit,audit_log_2026_07,1,id,bigint,f,nextval('audit.audit_log_id_seq'::regclass),"","",
audit,audit_log_2026_07,2,table_name,text,f,,"","",
audit,audit_log_2026_07,3,operation,text,f,,"","",
audit,audit_log_2026_07,4,row_pk,jsonb,t,,"","",
audit,audit_log_2026_07,5,before_data,jsonb,t,,"","",
audit,audit_log_2026_07,6,after_data,jsonb,t,,"","",
audit,audit_log_2026_07,7,changed_at,timestamp with time zone,f,now(),"","",
audit,audit_log_2026_07,8,changed_by,text,t,,"","",
audit,audit_log_default,1,id,bigint,f,nextval('audit.audit_log_id_seq'::regclass),"","",
audit,audit_log_default,2,table_name,text,f,,"","",
audit,audit_log_default,3,operation,text,f,,"","",
audit,audit_log_default,4,row_pk,jsonb,t,,"","",
audit,audit_log_default,5,before_data,jsonb,t,,"","",
audit,audit_log_default,6,after_data,jsonb,t,,"","",
audit,audit_log_default,7,changed_at,timestamp with time zone,f,now(),"","",
audit,audit_log_default,8,changed_by,text,t,,"","",
internal,mv_filtered_objects,1,id,text,t,,"","",
internal,mv_filtered_objects,2,object_type,object_type,t,,"","",
internal,mv_filtered_objects,3,status,object_status,t,,"","",
internal,mv_filtered_objects,4,commercial_visibility,text,t,,"","",
internal,mv_filtered_objects,5,updated_at,timestamp with time zone,t,,"","",
internal,mv_filtered_objects,6,name_normalized,text,t,,"","",
internal,mv_filtered_objects,7,name_search_vector,tsvector,t,,"","",
internal,mv_filtered_objects,8,city_search_vector,tsvector,t,,"","",
internal,mv_filtered_objects,9,latitude,"numeric(10,8)",t,,"","",
internal,mv_filtered_objects,10,longitude,"numeric(11,8)",t,,"","",
internal,mv_filtered_objects,11,geog2,"geography(Point,4326)",t,,"","",
internal,mv_filtered_objects,12,cached_min_price,"numeric(10,2)",t,,"","",
internal,mv_filtered_objects,13,cached_main_image_url,text,t,,"","",
internal,mv_filtered_objects,14,cached_rating,"numeric(3,2)",t,,"","",
internal,mv_filtered_objects,15,cached_is_open_now,boolean,t,,"","",
internal,mv_filtered_objects,16,cached_amenity_codes,text[],t,,"","",
internal,mv_filtered_objects,17,cached_payment_codes,text[],t,,"","",
internal,mv_filtered_objects,18,cached_environment_tags,text[],t,,"","",
internal,mv_filtered_objects,19,cached_language_codes,text[],t,,"","",
internal,mv_filtered_objects,20,cached_classification_codes,text[],t,,"","",
internal,mv_filtered_objects,21,cached_taxonomy_codes,text[],t,,"","",
internal,mv_ref_data_json,1,ref_type,text,t,,"","",
internal,mv_ref_data_json,2,id,uuid,t,,"","",
