schema,enum_name,sort_order,enum_value,comment
public,crm_consent_channel,1,email,
public,crm_consent_channel,2,phone,
public,crm_consent_channel,3,sms,
public,crm_consent_channel,4,whatsapp,
public,crm_consent_channel,5,postal,
public,crm_direction,1,inbound,
public,crm_direction,2,outbound,
public,crm_direction,3,internal,
public,crm_interaction_type,1,call,
public,crm_interaction_type,2,email,
public,crm_interaction_type,3,meeting,
public,crm_interaction_type,4,visit,
public,crm_interaction_type,5,whatsapp,
public,crm_interaction_type,6,sms,
public,crm_interaction_type,7,note,
public,crm_interaction_type,8,other,
public,crm_status,1,planned,
public,crm_status,2,done,
public,crm_status,3,canceled,
public,crm_task_priority,1,low,
public,crm_task_priority,2,medium,
public,crm_task_priority,3,high,
public,crm_task_priority,4,urgent,
public,crm_task_status,1,todo,
public,crm_task_status,2,in_progress,
public,crm_task_status,3,done,
public,crm_task_status,4,canceled,
public,crm_task_status,5,blocked,
public,legal_validity_mode,1,forever,
public,legal_validity_mode,2,tacit_renewal,
public,legal_validity_mode,3,fixed_end_date,
public,object_status,1,draft,
public,object_status,2,published,
public,object_status,3,archived,
public,object_status,4,hidden,
public,object_type,1,RES,
public,object_type,2,PCU,
public,object_type,3,PNA,
public,object_type,4,ORG,
public,object_type,5,ITI,
public,object_type,6,VIL,
public,object_type,7,HPA,
public,object_type,8,ASC,
public,object_type,9,COM,
public,object_type,10,HOT,
public,object_type,11,HLO,
public,object_type,12,LOI,
public,object_type,13,FMA,
public,object_type,14,CAMP,
public,object_type,15,PSV,
public,object_type,16,RVA,
public,object_type,17,ACT,
