fk_schema,fk_table,fk_name,fk_columns,ref_schema,ref_table,ref_columns,on_update,on_delete,deferrable,initially_deferred
public,actor,actor_created_by_fkey,created_by,auth,users,id,NO ACTION,SET NULL,f,f
public,actor,actor_updated_by_fkey,updated_by,auth,users,id,NO ACTION,SET NULL,f,f
public,actor_channel,actor_channel_actor_id_fkey,actor_id,public,actor,id,NO ACTION,CASCADE,f,f
public,actor_channel,actor_channel_kind_id_fkey,kind_id,public,ref_code_contact_kind,id,NO ACTION,RESTRICT,f,f
public,actor_channel,actor_channel_role_id_fkey,role_id,public,ref_contact_role,id,NO ACTION,SET NULL,f,f
public,actor_consent,actor_consent_actor_id_fkey,actor_id,public,actor,id,NO ACTION,CASCADE,f,f
public,actor_consent,actor_consent_document_id_fkey,document_id,public,ref_document,id,NO ACTION,SET NULL,f,f
public,actor_object_role,actor_object_role_actor_id_fkey,actor_id,public,actor,id,NO ACTION,CASCADE,f,f
public,actor_object_role,actor_object_role_object_id_fkey,object_id,public,object,id,NO ACTION,CASCADE,f,f
public,actor_object_role,actor_object_role_role_id_fkey,role_id,public,ref_actor_role,id,NO ACTION,RESTRICT,f,f
public,app_branding_settings,app_branding_settings_created_by_fkey,created_by,auth,users,id,NO ACTION,SET NULL,f,f
public,app_branding_settings,app_branding_settings_updated_by_fkey,updated_by,auth,users,id,NO ACTION,SET NULL,f,f
public,app_user_profile,app_user_profile_actor_id_fkey,actor_id,public,actor,id,NO ACTION,SET NULL,f,f
public,app_user_profile,app_user_profile_id_fkey,id,auth,users,id,NO ACTION,CASCADE,f,f
public,audit_criteria,audit_criteria_created_by_fkey,created_by,auth,users,id,NO ACTION,SET NULL,f,f
public,audit_criteria,audit_criteria_template_id_fkey,template_id,public,audit_template,id,NO ACTION,CASCADE,f,f
public,audit_criteria,audit_criteria_updated_by_fkey,updated_by,auth,users,id,NO ACTION,SET NULL,f,f
public,audit_result,audit_result_created_by_fkey,created_by,auth,users,id,NO ACTION,SET NULL,f,f
public,audit_result,audit_result_criteria_id_fkey,criteria_id,public,audit_criteria,id,NO ACTION,CASCADE,f,f
public,audit_result,audit_result_session_id_fkey,session_id,public,audit_session,id,NO ACTION,CASCADE,f,f
public,audit_result,audit_result_updated_by_fkey,updated_by,auth,users,id,NO ACTION,SET NULL,f,f
public,audit_session,audit_session_auditor_id_fkey,auditor_id,auth,users,id,NO ACTION,SET NULL,f,f
public,audit_session,audit_session_created_by_fkey,created_by,auth,users,id,NO ACTION,SET NULL,f,f
public,audit_session,audit_session_object_id_fkey,object_id,public,object,id,NO ACTION,CASCADE,f,f
public,audit_session,audit_session_template_id_fkey,template_id,public,audit_template,id,NO ACTION,RESTRICT,f,f
public,audit_session,audit_session_updated_by_fkey,updated_by,auth,users,id,NO ACTION,SET NULL,f,f
