schema,table_name,index_name,is_unique,is_primary,is_partial,method,index_def
audit,audit_log,audit_log_pkey,t,t,f,btree,"CREATE UNIQUE INDEX audit_log_pkey ON ONLY audit.audit_log USING btree (id, changed_at)"
audit,audit_log_2026_03,audit_log_2026_03_pkey,t,t,f,btree,"CREATE UNIQUE INDEX audit_log_2026_03_pkey ON audit.audit_log_2026_03 USING btree (id, changed_at)"
audit,audit_log_2026_03,idx_audit_log_2026_03_changed_at,f,f,f,btree,CREATE INDEX idx_audit_log_2026_03_changed_at ON audit.audit_log_2026_03 USING btree (changed_at)
audit,audit_log_2026_03,idx_audit_log_2026_03_operation,f,f,f,btree,CREATE INDEX idx_audit_log_2026_03_operation ON audit.audit_log_2026_03 USING btree (operation)
audit,audit_log_2026_03,idx_audit_log_2026_03_table_name,f,f,f,btree,CREATE INDEX idx_audit_log_2026_03_table_name ON audit.audit_log_2026_03 USING btree (table_name)
audit,audit_log_2026_04,audit_log_2026_04_pkey,t,t,f,btree,"CREATE UNIQUE INDEX audit_log_2026_04_pkey ON audit.audit_log_2026_04 USING btree (id, changed_at)"
audit,audit_log_2026_04,idx_audit_log_2026_04_changed_at,f,f,f,btree,CREATE INDEX idx_audit_log_2026_04_changed_at ON audit.audit_log_2026_04 USING btree (changed_at)
audit,audit_log_2026_04,idx_audit_log_2026_04_operation,f,f,f,btree,CREATE INDEX idx_audit_log_2026_04_operation ON audit.audit_log_2026_04 USING btree (operation)
audit,audit_log_2026_04,idx_audit_log_2026_04_table_name,f,f,f,btree,CREATE INDEX idx_audit_log_2026_04_table_name ON audit.audit_log_2026_04 USING btree (table_name)
audit,audit_log_2026_05,audit_log_2026_05_pkey,t,t,f,btree,"CREATE UNIQUE INDEX audit_log_2026_05_pkey ON audit.audit_log_2026_05 USING btree (id, changed_at)"
audit,audit_log_2026_05,idx_audit_log_2026_05_changed_at,f,f,f,btree,CREATE INDEX idx_audit_log_2026_05_changed_at ON audit.audit_log_2026_05 USING btree (changed_at)
audit,audit_log_2026_05,idx_audit_log_2026_05_operation,f,f,f,btree,CREATE INDEX idx_audit_log_2026_05_operation ON audit.audit_log_2026_05 USING btree (operation)
audit,audit_log_2026_05,idx_audit_log_2026_05_table_name,f,f,f,btree,CREATE INDEX idx_audit_log_2026_05_table_name ON audit.audit_log_2026_05 USING btree (table_name)
audit,audit_log_2026_06,audit_log_2026_06_pkey,t,t,f,btree,"CREATE UNIQUE INDEX audit_log_2026_06_pkey ON audit.audit_log_2026_06 USING btree (id, changed_at)"
audit,audit_log_2026_06,idx_audit_log_2026_06_changed_at,f,f,f,btree,CREATE INDEX idx_audit_log_2026_06_changed_at ON audit.audit_log_2026_06 USING btree (changed_at)
audit,audit_log_2026_06,idx_audit_log_2026_06_operation,f,f,f,btree,CREATE INDEX idx_audit_log_2026_06_operation ON audit.audit_log_2026_06 USING btree (operation)
audit,audit_log_2026_06,idx_audit_log_2026_06_table_name,f,f,f,btree,CREATE INDEX idx_audit_log_2026_06_table_name ON audit.audit_log_2026_06 USING btree (table_name)
audit,audit_log_2026_07,audit_log_2026_07_pkey,t,t,f,btree,"CREATE UNIQUE INDEX audit_log_2026_07_pkey ON audit.audit_log_2026_07 USING btree (id, changed_at)"
audit,audit_log_2026_07,idx_audit_log_2026_07_changed_at,f,f,f,btree,CREATE INDEX idx_audit_log_2026_07_changed_at ON audit.audit_log_2026_07 USING btree (changed_at)
audit,audit_log_2026_07,idx_audit_log_2026_07_operation,f,f,f,btree,CREATE INDEX idx_audit_log_2026_07_operation ON audit.audit_log_2026_07 USING btree (operation)
audit,audit_log_2026_07,idx_audit_log_2026_07_table_name,f,f,f,btree,CREATE INDEX idx_audit_log_2026_07_table_name ON audit.audit_log_2026_07 USING btree (table_name)
audit,audit_log_default,audit_log_default_pkey,t,t,f,btree,"CREATE UNIQUE INDEX audit_log_default_pkey ON audit.audit_log_default USING btree (id, changed_at)"
internal,mv_filtered_objects,idx_mv_filtered_objects_amenity_codes_gin,f,f,f,gin,CREATE INDEX idx_mv_filtered_objects_amenity_codes_gin ON internal.mv_filtered_objects USING gin (cached_amenity_codes)
internal,mv_filtered_objects,idx_mv_filtered_objects_city_search_gin,f,f,f,gin,CREATE INDEX idx_mv_filtered_objects_city_search_gin ON internal.mv_filtered_objects USING gin (city_search_vector)
internal,mv_filtered_objects,idx_mv_filtered_objects_classification_codes_gin,f,f,f,gin,CREATE INDEX idx_mv_filtered_objects_classification_codes_gin ON internal.mv_filtered_objects USING gin (cached_classification_codes)
internal,mv_filtered_objects,idx_mv_filtered_objects_environment_tags_gin,f,f,f,gin,CREATE INDEX idx_mv_filtered_objects_environment_tags_gin ON internal.mv_filtered_objects USING gin (cached_environment_tags)
internal,mv_filtered_objects,idx_mv_filtered_objects_geog_gist,f,f,f,gist,CREATE INDEX idx_mv_filtered_objects_geog_gist ON internal.mv_filtered_objects USING gist (geog2)
internal,mv_filtered_objects,idx_mv_filtered_objects_id,t,f,f,btree,CREATE UNIQUE INDEX idx_mv_filtered_objects_id ON internal.mv_filtered_objects USING btree (id)
internal,mv_filtered_objects,idx_mv_filtered_objects_language_codes_gin,f,f,f,gin,CREATE INDEX idx_mv_filtered_objects_language_codes_gin ON internal.mv_filtered_objects USING gin (cached_language_codes)
internal,mv_filtered_objects,idx_mv_filtered_objects_name_search_gin,f,f,f,gin,CREATE INDEX idx_mv_filtered_objects_name_search_gin ON internal.mv_filtered_objects USING gin (name_search_vector)
internal,mv_filtered_objects,idx_mv_filtered_objects_payment_codes_gin,f,f,f,gin,CREATE INDEX idx_mv_filtered_objects_payment_codes_gin ON internal.mv_filtered_objects USING gin (cached_payment_codes)
internal,mv_filtered_objects,idx_mv_filtered_objects_taxonomy_codes_gin,f,f,f,gin,CREATE INDEX idx_mv_filtered_objects_taxonomy_codes_gin ON internal.mv_filtered_objects USING gin (cached_taxonomy_codes)
internal,mv_filtered_objects,idx_mv_filtered_objects_updated_at_id,f,f,f,btree,"CREATE INDEX idx_mv_filtered_objects_updated_at_id ON internal.mv_filtered_objects USING btree (updated_at, id)"
internal,mv_ref_data_json,idx_mv_ref_data_code,f,f,f,btree,"CREATE INDEX idx_mv_ref_data_code ON internal.mv_ref_data_json USING btree (ref_type, code)"
internal,mv_ref_data_json,idx_mv_ref_data_type_id,t,f,f,btree,"CREATE UNIQUE INDEX idx_mv_ref_data_type_id ON internal.mv_ref_data_json USING btree (ref_type, id)"
