schema,table_name,policy_name,command,permissive,roles,qual,with_check
audit,audit_log,Insertion via triggers,INSERT,PERMISSIVE,"postgres,service_role",,true
audit,audit_log,Lecture audit (admin/service_role),SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
audit,audit_log_2026_03,Insertion via triggers,INSERT,PERMISSIVE,"postgres,service_role",,true
audit,audit_log_2026_03,Lecture audit (admin/service_role),SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
audit,audit_log_2026_04,Insertion via triggers,INSERT,PERMISSIVE,"postgres,service_role",,true
audit,audit_log_2026_04,Lecture audit (admin/service_role),SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
audit,audit_log_2026_05,Insertion via triggers,INSERT,PERMISSIVE,"postgres,service_role",,true
audit,audit_log_2026_05,Lecture audit (admin/service_role),SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
audit,audit_log_2026_06,Insertion via triggers,INSERT,PERMISSIVE,"postgres,service_role",,true
audit,audit_log_2026_06,Lecture audit (admin/service_role),SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
audit,audit_log_2026_07,Insertion via triggers,INSERT,PERMISSIVE,"postgres,service_role",,true
audit,audit_log_2026_07,Lecture audit (admin/service_role),SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
audit,audit_log_default,Insertion via triggers,INSERT,PERMISSIVE,"postgres,service_role",,true
audit,audit_log_default,Lecture audit (admin/service_role),SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,actor,admin_actor_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,actor,ext_actor_read,SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR (id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM (actor_object_role aor
     JOIN object o ON ((o.id = aor.object_id)))
  WHERE ((aor.actor_id = actor.id) AND api.can_read_extended(o.id)))))",
public,actor_channel,admin_actor_channel_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,actor_channel,ext_actor_channel_read,SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR (actor_id = auth.uid()))",
public,actor_consent,own_actor_consent_read,SELECT,PERMISSIVE,public,(actor_id = auth.uid()),
public,actor_consent,own_actor_consent_write,ALL,PERMISSIVE,public,(actor_id = auth.uid()),
public,actor_object_role,admin_actor_object_role_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,actor_object_role,ext_actor_object_role_read,SELECT,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR (actor_id = auth.uid()) OR api.can_read_extended(object_id))",
public,app_branding_settings,branding_settings_read_authenticated,SELECT,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['authenticated'::text, 'service_role'::text, 'admin'::text]))",
public,app_branding_settings,branding_settings_write_platform_admin,ALL,PERMISSIVE,public,api.is_platform_admin(),api.is_platform_admin()
public,app_user_profile,Administration des profils utilisateur,DELETE,PERMISSIVE,public,api.is_platform_owner(),
public,app_user_profile,Insertion de son profil utilisateur,INSERT,PERMISSIVE,public,,((id = auth.uid()) OR api.is_platform_owner())
public,app_user_profile,Lecture de son profil utilisateur,SELECT,PERMISSIVE,public,((id = auth.uid()) OR api.is_platform_owner()),
public,app_user_profile,Mise à jour de son profil utilisateur,UPDATE,PERMISSIVE,public,((id = auth.uid()) OR api.is_platform_owner()),((id = auth.uid()) OR api.is_platform_owner())
public,audit_criteria,admin_audit_criteria_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,audit_criteria,pub_audit_criteria_read,SELECT,PERMISSIVE,public,"(EXISTS ( SELECT 1
   FROM audit_template t
  WHERE ((t.id = audit_criteria.template_id) AND ((t.is_active = true) OR (auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))))))",
public,audit_result,admin_audit_result,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,audit_session,admin_audit_session,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,audit_template,admin_audit_template_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,audit_template,pub_audit_template_read,SELECT,PERMISSIVE,public,"((is_active = true) OR (auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])))",
public,contact_channel,ext_contacts_org_actor,SELECT,PERMISSIVE,public,api.can_read_extended(object_id),
public,contact_channel,owner_write_contact,ALL,PERMISSIVE,public,api.is_object_owner(object_id),
public,contact_channel,pub_contacts_public,SELECT,PERMISSIVE,public,(is_public IS TRUE),
public,crm_interaction,admin_crm_interaction,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,crm_task,admin_crm_task,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,i18n_translation,Lecture publique des traductions,SELECT,PERMISSIVE,public,true,
public,i18n_translation,Écriture admin des traductions,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,incident_report,admin_incident_report,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,media,ext_media_org_actor,SELECT,PERMISSIVE,public,api.can_read_extended(object_id),
public,media,owner_write_media,ALL,PERMISSIVE,public,api.is_object_owner(object_id),
public,media,pub_media_published,SELECT,PERMISSIVE,public,(is_published IS TRUE),
public,media_tag,Lecture publique des media_tag,SELECT,PERMISSIVE,public,true,
public,media_tag,Écriture media_tag par propriétaire,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR (EXISTS ( SELECT 1
   FROM (media m
     JOIN object o ON ((o.id = m.object_id)))
  WHERE ((m.id = media_tag.media_id) AND (o.created_by = auth.uid())))))",
public,meeting_room_equipment,owner_meeting_room_equipment_write,ALL,PERMISSIVE,public,"(EXISTS ( SELECT 1
   FROM object_meeting_room omr
  WHERE ((omr.id = meeting_room_equipment.room_id) AND api.is_object_owner(omr.object_id))))",
public,meeting_room_equipment,pub_meeting_room_equipment_read,SELECT,PERMISSIVE,public,true,
public,object,Accès admin/service_role (object),ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,object,extended_objects_org_actor,SELECT,PERMISSIVE,public,api.can_read_extended(id),
